['closedAt'],['createdAt'],['title'],['url']
2019-11/11,2019-11/11,files.freeswitch.org ipv6 connectivity,https://github.com/signalwire/freeswitch/issues/116
2019-11/12,2019-11/12,Resource locking issue,https://github.com/signalwire/freeswitch/issues/120
2021-12/22,2019-11/12,Build RPM on CentOS7 fails with missing function,https://github.com/signalwire/freeswitch/issues/121
2019-11/13,2019-11/13,mod_event_socket: cannot connect via fs_cli,https://github.com/signalwire/freeswitch/issues/124
,2019-11/13,FreeSwitch hangs and is not possible to connect,https://github.com/signalwire/freeswitch/issues/125
,2019-11/14,no audio stun for a long time,https://github.com/signalwire/freeswitch/issues/128
2019-11/14,2019-11/14,E: The repository 'http://files.freeswitch.org/repo/deb/debian-unstable stretch InRelease' is not signed.,https://github.com/signalwire/freeswitch/issues/129
,2019-11/15,segfault performing uuid_dual_transfer on callcenter agent channel ,https://github.com/signalwire/freeswitch/issues/130
,2019-11/18,[mod_mariadb] Missing primary indexes on tables created by sofia,https://github.com/signalwire/freeswitch/issues/131
,2019-11/22,[mod_av] invalid  record video call .mp4 file cannot be reproduced,https://github.com/signalwire/freeswitch/issues/135
2019-12/8,2019-11/25,FS-10252 :- channel zombie not kill ,https://github.com/signalwire/freeswitch/issues/138
,2019-11/26,[mod_callcenter] agent-del event action is absent,https://github.com/signalwire/freeswitch/issues/140
,2019-11/26,No DNS Lookup before sending Register,https://github.com/signalwire/freeswitch/issues/142
2020-2/10,2019-11/26,No hangup after txfax,https://github.com/signalwire/freeswitch/issues/143
2020-8/12,2019-11/27,Crash unexpectedly,https://github.com/signalwire/freeswitch/issues/145
2020-1/28,2019-11/27,Wrong/continuous RTP timestamp when media playback resumes on 1.10.1,https://github.com/signalwire/freeswitch/issues/146
2020-5/12,2019-11/29,libs/libvpx: please include fixes for open CVEs,https://github.com/signalwire/freeswitch/issues/147
2019-12/13,2019-12/1,record conference or session locks mod_av,https://github.com/signalwire/freeswitch/issues/149
,2019-12/1,"""record_post_process_exec_app"" Not Firing",https://github.com/signalwire/freeswitch/issues/151
,2019-12/2,"[mod_callcenter] add options for not-registered-delay-time, max rejected, max busy and max_not_registered",https://github.com/signalwire/freeswitch/issues/152
2022-3/20,2019-12/2,docker/master/Dockerfile is unbuildable,https://github.com/signalwire/freeswitch/issues/154
2020-9/10,2019-12/2,minimum-session-expires option ignored,https://github.com/signalwire/freeswitch/issues/155
,2019-12/2,"FreeSwitch 1.8.5 sends ""early"" state instead of ""terminated"" when call ends and BLF is configured",https://github.com/signalwire/freeswitch/issues/156
2020-8/11,2019-12/2,Audio connection attempted despite ACL rejecting candidate,https://github.com/signalwire/freeswitch/issues/157
,2019-12/3,Locking down UDP dynamic port range,https://github.com/signalwire/freeswitch/issues/159
2019-12/4,2019-12/4,"apt-get install freeswitch-meta-all returning ""Unable to locate package freeswitch-meta-all""",https://github.com/signalwire/freeswitch/issues/163
,2019-12/6,sms,https://github.com/signalwire/freeswitch/issues/167
2020-8/12,2019-12/6,make编译出了错误install-recursive,https://github.com/signalwire/freeswitch/issues/168
2020-1/6,2019-12/7,CF_AUDIO flag not set by mod_portaudio,https://github.com/signalwire/freeswitch/issues/169
2019-12/30,2019-12/10,How to optimize the use of mod_av memory with 1.10 release？,https://github.com/signalwire/freeswitch/issues/173
2020-8/12,2019-12/12,freeswitch installation problem,https://github.com/signalwire/freeswitch/issues/175
2020-8/12,2019-12/13,freeswitch installing error when make or make install,https://github.com/signalwire/freeswitch/issues/176
2019-12/13,2019-12/13,Playing vp8 and vp9 video from file error,https://github.com/signalwire/freeswitch/issues/177
2020-8/12,2019-12/16,Zombie calls,https://github.com/signalwire/freeswitch/issues/178
