"['title']","['url']","['createdAt']","['closedAt']"
"Add discard channel support for splitters","https://github.com/spring-projects/spring-integration/issues/2765","2019-2/25","2019-4/8"
"Refactoring breaks bean initialization","https://github.com/spring-projects/spring-integration/issues/2767","2019-2/27","2019-2/27"
"AbstractMessageSource - check for an empty headerExpressions Map before evaluating","https://github.com/spring-projects/spring-integration/issues/2770","2019-2/28","2019-2/28"
"Consider Adding a DynamicSessionFactory","https://github.com/spring-projects/spring-integration/issues/2771","2019-2/28","null"
"MessagePublishingErrorHandler Log does not handle logback-spring configuration","https://github.com/spring-projects/spring-integration/issues/2775","2019-3/1","2019-4/25"
"Possible race in FtpStreamingMessageSourceTests","https://github.com/spring-projects/spring-integration/issues/2776","2019-3/1","2019-3/1"
"Defer remote file filtering logic until a file is processed","https://github.com/spring-projects/spring-integration/issues/2777","2019-3/1","2019-3/5"
"ByteArrayLengthHeaderSerializer headerSize Enhancement","https://github.com/spring-projects/spring-integration/issues/2780","2019-3/4","2019-3/4"
"Build failure: PersistentAcceptOnceFileListFilterExternalStoreTests. executionError","https://github.com/spring-projects/spring-integration/issues/2782","2019-3/4","2019-3/8"
"Inconsistent behaviour of message handlers depending on style of configuration.","https://github.com/spring-projects/spring-integration/issues/2784","2019-3/5","2019-3/7"
"Enhancement: Connection-Correlating Client Connection Factory","https://github.com/spring-projects/spring-integration/issues/2785","2019-3/5","null"
"Feature request: mongo change stream","https://github.com/spring-projects/spring-integration/issues/2788","2019-3/6","2020-4/7"
"Official support for a visualization tool","https://github.com/spring-projects/spring-integration/issues/2789","2019-3/6","2019-3/7"
"Add convenient options into the HeaderEnricherSpec for common headers","https://github.com/spring-projects/spring-integration/issues/2792","2019-3/7","2019-4/12"
"Publisher confirms timeout","https://github.com/spring-projects/spring-integration/issues/2797","2019-2/25","2019-3/11"
"GatewayProxyFactoryBean for unannotated interface creates gateway with empty string errorChannel","https://github.com/spring-projects/spring-integration/issues/2799","2019-3/11","2019-3/11"
"Deprecate MetricsFactory and friends","https://github.com/spring-projects/spring-integration/issues/2803","2019-3/12","2019-4/10"
"Eliminate MicrometerMetricsCaptor","https://github.com/spring-projects/spring-integration/issues/2804","2019-3/12","null"
