"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Update strings.xml (spanish)","2016-1/11","2016-1/11","2016-1/11",True,"2016-1/11",2,3,3
"Update strings.xml","2016-1/16","2016-1/16","2016-1/16",True,"2016-1/16",2,4,4
"Add 'Postcode' to address search","2016-1/17","2016-1/17","2016-1/17",False,"null",3,2,2
"Add 'or postcode' address search","2016-1/18","2016-1/18","2016-1/18",True,"2016-1/18",2,2,2
"Fix a typo","2016-2/11","2016-2/11","2016-2/11",True,"2016-2/11",2,1,1
"Create values-es-rUS to Latin America","2016-2/15","2016-2/15","2016-2/15",True,"2016-2/15",2,4546,0
"Properly calculate the disk usage change for downloads of updates, improve messages to user","2016-2/18","2016-2/18","2016-2/18",True,"2016-2/18",4,43,7
"R2.2samsung","2016-2/19","2016-2/19","2016-2/19",True,"2016-2/19",1,5,3
"support diacritics symbols also with czech language","2016-2/19","2016-2/19","2016-2/19",True,"2016-2/19",2,1,0
"Fix typos in strings.xml","2016-2/21","2016-2/21","2016-2/21",True,"2016-2/21",2,3,3
"Fix a typo","2016-2/25","2016-2/25","2016-2/25",True,"2016-2/25",2,1,1
"Fix translation","2016-2/28","2016-2/28","2016-2/28",True,"2016-2/28",2,1,1
"Fix typos","2016-3/1","2016-3/1","2016-3/1",True,"2016-3/1",2,12,12
"Remove icu4j and reshaper as they are no longer in use","2016-3/2","2016-3/2","2016-3/2",False,"null",2,2,101
"Create ISSUE_TEMPLATE.md","2016-3/5","2016-3/5","2016-3/5",True,"2016-3/5",2,22,0
"Address search in landscape mode fixed, no more ""extracted text UI"" issue","2016-3/7","2016-3/7","2016-3/7",True,"2016-3/7",2,94,3
"Update OsMo strings","2016-3/9","2016-3/9","2016-3/9",True,"2016-3/9",2,16,18
"Update OsMo strings","2016-3/10","2016-3/10","2016-3/10",True,"2016-3/10",2,12,9
"Test lanes","2016-3/12","2016-3/12","2016-3/12",True,"2016-3/12",2,268,1
"Test lanes libs","2016-3/12","2016-3/12","2016-3/12",False,"null",2,0,0
"Test libs in separate folder","2016-3/12","2016-3/12","2016-3/12",True,"2016-3/12",2,18,4
"Fix resources path","2016-3/12","2016-3/12","2016-3/12",True,"2016-3/12",2,2,5
"Add bash script in order to start turn lanes tests.","2016-3/15","2016-3/15","2016-3/15",True,"2016-3/15",2,16,4
"Add expected segments verification.","2016-3/17","2016-3/17","2016-3/17",True,"2016-3/17",2,10,1
"Reworked GPX display.","2016-3/20","2016-3/20","2016-3/20",False,"null",3,241,47
"GPX redux","2016-3/23","2016-3/23","2016-3/23",False,"null",3,2306,1063
