"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Fix rendering_exception leading to ""Could not draw chosen area""","2020-3/4","2020-3/4","2020-3/4",True,"2020-3/4",2,1,1
"Fix ""Back button (arrow)""","2020-3/5","2020-3/5","2020-3/5",True,"2020-3/5",2,132,69
"AndroidX fixes","2020-3/5","2020-3/5","2020-3/5",True,"2020-3/5",2,13,9
"update test branch","2020-3/5","2020-3/5","2020-3/5",True,"2020-3/5",28,5918,4555
"Fix_8612","2020-3/6","2020-3/6","2020-3/6",True,"2020-3/6",2,5,13
"Fix androidX for core sample","2020-3/6","2020-3/6","2020-3/6",True,"2020-3/6",2,9,9
"Typo fix","2020-3/6","2020-3/6","2020-3/6",True,"2020-3/6",2,1,1
"update test branch","2020-3/6","2020-3/6","2020-3/6",True,"2020-3/6",18,664,252
"Merge 'r3.6' to 'master' (Fix conflicts)","2020-3/10","2020-3/10","2020-3/10",True,"2020-3/10",2,372,364
"update test branch","2020-3/10","2020-3/10","2020-3/10",True,"2020-3/10",20,994,549
"Revert ""Merge 'r3.6' to 'master' (Fix conflicts)""","2020-3/11","2020-3/11","2020-3/11",True,"2020-3/11",1,364,372
"update test branch","2020-3/11","2020-3/11","2020-3/11",True,"2020-3/11",9,223,155
"Fix possible crashes with fragment manager and import dialogs","2020-3/12","2020-3/12","2020-3/12",True,"2020-3/12",2,56,39
"update test branch","2020-3/12","2020-3/12","2020-3/12",True,"2020-3/12",4,60,39
"Change Settings UI -> Distance to recalculate","2020-3/13","2020-3/13","2020-3/13",False,"null",3,353,43
"Fix plugins compilation","2020-3/13","2020-3/13","2020-3/13",False,"null",1,8,8
"Import export fixes","2020-3/13","2020-3/13","2020-3/13",True,"2020-3/13",2,92,36
"update test branch","2020-3/14","2020-3/14","2020-3/14",True,"2020-3/14",4,1220,446
"update test branch","2020-3/15","2020-3/15","2020-3/15",True,"2020-3/15",20,918,231
"update test branch","2020-3/16","2020-3/16","2020-3/16",True,"2020-3/16",2,11,0
"Slope hillshade ui","2020-3/16","2020-3/16","2020-3/16",True,"2020-3/16",3,1344,334
"update test branch","2020-3/16","2020-3/16","2020-3/16",True,"2020-3/16",1,2,2
"Gpx route","2020-3/17","2020-3/17","2020-3/17",True,"2020-3/17",1,1672,296
"Fix #8694 Profile appearance: After taping Save button, Dismiss dialo…","2020-3/18","2020-3/18","2020-3/18",True,"2020-3/18",2,1,0
"Change Settings UI -> Distance to recalculate","2020-3/19","2020-3/19","2020-3/19",True,"2020-3/19",2,384,47
"Fix quick action","2020-3/22","2020-3/22","2020-3/22",True,"2020-3/22",1,751,914
"fix for #8704","2020-3/23","2020-3/23","2020-3/23",False,"null",2,35,27
"Fix export import","2020-3/23","2020-3/23","2020-3/23",True,"2020-3/23",2,100,20
"Custom plugins","2020-3/25","2020-3/25","2020-3/25",True,"2020-3/25",2,1745,735
"fix terrain transparency","2020-3/25","2020-3/25","2020-3/25",True,"2020-3/25",2,3,2
"Fix possible npe","2020-3/26","2020-3/26","2020-3/26",True,"2020-3/26",1,1,1
"Wikipedia POI test","2020-3/27","2020-3/27","2020-3/27",False,"null",2,1162,63
"Fix slope hillshade ui","2020-3/27","2020-3/27","2020-3/27",True,"2020-3/27",2,450,411
"Fix 1 edit fav icons","2020-3/27","2020-3/27","2020-3/27",True,"2020-3/27",2,169,99
"Voice prompt delay for all audio manager streams","2020-3/29","2020-4/29","2020-3/29",True,"2020-4/29",3,72,52
"Fix UI, fix rtl, fix icon size","2020-3/30","2020-3/30","2020-3/30",True,"2020-3/30",2,81,66
"Fix 1 edit fav icons","2020-3/30","2020-3/30","2020-3/30",True,"2020-3/30",2,69,7
"Add Wikipedia POI separate screen and logic","2020-3/31","2020-4/31","2020-3/31",True,"2020-4/31",2,1164,101
"Import settings fixes","2020-3/31","2020-3/31","2020-3/31",True,"2020-3/31",2,164,134
"Fix 1 edit fav icons","2020-4/1","2020-4/1","2020-4/1",True,"2020-4/1",2,69,46
"Drawer logo","2020-4/1","2020-4/1","2020-4/1",True,"2020-4/1",2,238,193
"Fix 1 edit fav icons","2020-4/2","2020-4/2","2020-4/2",True,"2020-4/2",2,21,30
"Tp to native","2020-4/3","2020-4/3","2020-4/3",True,"2020-4/3",2,316,17
"Show SnackBar when preference change","2020-4/3","2020-4/3","2020-4/3",False,"null",1,379,56
"Show SnackBar when preference change","2020-4/3","2020-4/3","2020-4/3",True,"2020-4/3",2,88,34
"Minor fixes","2020-4/3","2020-4/3","2020-4/3",True,"2020-4/3",2,6,1
"Select gpx track","2020-4/3","2020-4/3","2020-4/3",True,"2020-4/3",2,385,62
" Fix tablet layout paddings in appBar, fix bearing icon background.","2020-4/6","2020-4/6","2020-4/6",True,"2020-4/6",2,34,23
" Fix npe.","2020-4/7","2020-4/7","2020-4/7",True,"2020-4/7",2,123,101
"Show SnackBar when preference change (fixes)","2020-4/8","2020-4/8","2020-4/8",True,"2020-4/8",2,280,191
"Export import fix ui","2020-4/8","2020-4/8","2020-4/8",True,"2020-4/8",2,26,10
"Fix #8693 Profile appearance: Strange scroll appear after select diff…","2020-4/9","2020-4/9","2020-4/9",True,"2020-4/9",2,40,4
"Fix #8512 Bottom sheet dialogs should support multiline headings","2020-4/9","2020-4/9","2020-4/9",True,"2020-4/9",2,4,2
"Fix base profile name scroll appearance","2020-4/9","2020-4/9","2020-4/9",True,"2020-4/9",2,3,1
"fix icon margin / checkBox unselected color","2020-4/10","2020-4/10","2020-4/10",True,"2020-4/10",2,8,3
"slope/hillshade fixes","2020-4/10","2020-4/10","2020-4/10",True,"2020-4/10",2,11,4
"Configure menu items","2020-4/10","2020-4/10","2020-4/10",True,"2020-4/10",2,2074,246
"Add GPX waypoint action Bottom Sheet","2020-4/10","2020-4/10","2020-4/10",True,"2020-4/10",2,145,111
"update test branch","2020-4/10","2020-4/10","2020-4/10",True,"2020-4/10",31,16300,5274
"Fix #6838 Announce the change of street names","2020-4/12","null","2020-4/12",False,"null",2,36,2
"Fix cursor at the end of profile name","2020-4/13","2020-4/13","2020-4/13",True,"2020-4/13",2,13,2
"Wikipedia Poi Fixes (After review)","2020-4/14","2020-4/14","2020-4/14",True,"2020-4/14",3,250,140
"Custom downloads","2020-4/15","2020-4/15","2020-4/15",True,"2020-4/15",2,1379,264
"Finish POI Categories","2020-4/15","2020-4/15","2020-4/15",True,"2020-4/15",2,303,79
"Fix 2 edit fav icons","2020-4/16","2020-4/16","2020-4/16",True,"2020-4/16",2,260,206
"Fix #8367 Wrong focus after deleting a POI","2020-4/17","2020-4/17","2020-4/17",True,"2020-4/17",2,45,20
"Configure menu items fix","2020-4/17","2020-4/17","2020-4/17",True,"2020-4/17",2,44,29
"Fix typos in strings.xml.","2020-4/18","2020-4/18","2020-4/18",True,"2020-4/18",2,2,2
"sync test branch","2020-4/19","2020-4/19","2020-4/19",True,"2020-4/19",27,4352,1389
"Change memoryLimitation variable to long.","2020-4/19","2020-4/19","2020-4/19",True,"2020-4/19",2,9,9
"Replace all SeekBars with Material Components Sliders","2020-4/21","2020-4/21","2020-4/21",True,"2020-4/21",2,237,435
"Fix Wikipedia ConcurrentModificationException","2020-4/22","2020-4/22","2020-4/22",True,"2020-4/22",2,3,2
"Discount badge","2020-4/22","2020-4/22","2020-4/22",True,"2020-4/22",2,251,123
"Custom downloads improvements first part","2020-4/22","2020-4/22","2020-4/22",True,"2020-4/22",2,392,89
"Description download actions","2020-4/23","2020-4/23","2020-4/23",True,"2020-4/23",2,298,248
"update test branch","2020-4/23","2020-4/23","2020-4/23",True,"2020-4/23",29,4883,1263
"Add override profile prefs","2020-4/24","2020-4/24","2020-4/24",True,"2020-4/24",2,84,47
"Create custom poi","2020-4/27","2020-4/27","2020-4/27",True,"2020-4/27",3,1028,260
"Fix RTL step 2","2020-4/28","2020-5/28","2020-4/28",True,"2020-5/28",2,389,148
"My places item height 60dp","2020-4/28","2020-4/28","2020-4/28",True,"2020-4/28",2,16,16
"Fix edit map source name","2020-4/28","2020-4/28","2020-4/28",True,"2020-4/28",2,2,2
"add native pt setting to dev plugin","2020-4/28","2020-4/28","2020-4/28",True,"2020-4/28",2,25,2
"Circled icon test","2020-4/28","2020-4/28","2020-4/28",True,"2020-4/28",2,9,2
"Dynamic downloads","2020-4/28","2020-4/28","2020-4/28",True,"2020-4/28",2,168,4
"Colors refactoring","2020-4/29","2020-4/29","2020-4/29",True,"2020-4/29",2,42,21
"Configure menu items fix","2020-4/29","2020-5/29","2020-4/29",True,"2020-5/29",2,650,346
"update test branch","2020-4/29","2020-4/29","2020-4/29",True,"2020-4/29",20,4713,922
"Wikipedia poi title in context menu and on the map shows in article language","2020-4/30","2020-4/30","2020-4/30",True,"2020-4/30",2,24,11
"New strings reworked","2020-4/30","2020-5/30","2020-4/30",True,"2020-5/30",2,17,17
"Fix #8510","2020-4/30","2020-4/30","2020-4/30",True,"2020-4/30",2,3,1
"Custom download fixes","2020-4/30","2020-4/30","2020-4/30",True,"2020-4/30",2,259,254
"Add missing space in strings.xml","2020-4/30","2020-5/30","2020-4/30",True,"2020-5/30",2,1,1
"Fix #8861 [Samsung Galaxy Tab S3] Texts are cut off","2020-4/30","2020-5/30","2020-4/30",True,"2020-5/30",2,17,28
"Show streets on map if no buildings are found","2020-5/1","2020-5/1","2020-5/1",True,"2020-5/1",1,1,1
"fix edit poi location #8839","2020-5/1","2020-5/1","2020-5/1",True,"2020-5/1",2,7,0
"fix static fields","2020-5/1","2020-5/1","2020-5/1",True,"2020-5/1",2,19,28
"OSF plugin fixes","2020-5/4","2020-5/4","2020-5/4",True,"2020-5/4",2,43,18
"Check icon for tablet","2020-5/4","2020-5/4","2020-5/4",True,"2020-5/4",2,195,192
"Migrate enum prefs format and fix #8783","2020-5/4","2020-5/4","2020-5/4",True,"2020-5/4",2,88,52
"Fix #8600","2020-5/5","2020-5/5","2020-5/5",True,"2020-5/5",2,357,177
