4,4,2,9,9,4,3,4,1,4,2,1,3,3,4,7,3,7,4,2,6,6,3,5,3,1,1,10,8,14,12,7,21,17,10,16,12,16,24,18,17,27,19,32,40,28,18,37,26,40,27,21,23,24,26,22,27,59,37,32,95,139,32,41,91,35,25,37,14
10,23,13,8,15,10,6,17,9,13,6,10,14,12,9,8,5,3,2,10,5,7,6,13,5,8,3,6,5,5,8,3,8,6,8,5,5,7,2,3,2,4,4,6,4,4,1,3,5,2,4,3,2,2,2,1,5,4,2,2,2,1,2,2,2,1,1,2,3
14,17,17,14,11,12,14,17,24,9,8,14,13,18,17,19,15,18,11,25,15,14,18,14,12,20,9,15,16,9,11,14,14,16,5,11,9,8,12,7,4,13,15,13,14,9,17,13,8,12,10,6,14,9,9,12,9,7,9,10,5,4,5,3,4,3,7,6,8
30,34,27,32,31,31,62,36,57,37,40,64,54,30,27,32,23,42,25,32,34,28,24,22,15,16,21,36,23,12,27,17,29,22,21,19,24,24,23,19,19,18,33,19,34,23,22,18,25,37,24,13,17,25,56,33,25,22,22,24,25,26,20,26,34,17,15,26,38
11,21,11,11,9,17,8,14,11,14,13,14,13,17,9,11,12,8,15,14,11,15,21,20,10,22,18,11,16,15,9,14,13,17,15,11,18,7,14,15,10,13,13,10,15,21,5,18,10,16,17,8,6,7,15,11,5,6,9,9,11,28,6,13,10,10,21,6,1
16,24,27,28,16,19,44,28,27,26,23,37,30,26,44,43,37,40,40,67,30,18,25,36,24,44,34,41,21,45,27,40,34,30,39,26,36,22,19,23,29,40,38,38,25,27,36,36,46,38,41,56,49,41,59,37,37,42,32,33,39,45,33,72,49,55,53,41,6
44,90,58,65,85,95,70,67,62,59,55,68,58,52,55,63,47,51,50,65,46,56,44,48,43,49,42,52,35,47,51,45,28,44,37,45,27,27,35,35,42,41,29,28,28,23,34,27,23,37,27,20,15,24,26,23,21,17,24,22,23,31,26,27,18,27,20,26,1
216,136,95,116,123,84,96,99,104,143,126,116,186,240,188,368,206,142,152,116,171,195,148,155,162,168,130,158,102,79,116,112,150,134,125,117,258,147,184,161,225,147,168,153,180,118,157,5004,451,288,322,233,154,183,150,157,204,216,243,205,196,160,165,162,130,141,146,138,26
15,4,17,8,9,14,10,8,11,10,9,9,14,9,12,12,10,10,14,8,5,12,18,14,14,7,33,24,10,15,16,18,10,13,15,9,14,9,9,16,12,12,15,16,9,15,11,13,5,9,16,11,8,8,12,15,11,7,8,13,14,10,13,8,11,13,13,9,11
359,610,503,505,472,571,540,570,559,542,507,577,421,753,657,641,579,634,663,569,538,666,642,656,564,875,957,848,767,838,776,710,658,656,666,535,471,645,649,727,635,616,531,520,451,495,510,488,400,494,544,454,408,437,438,403,392,408,427,498,400,614,647,496,465,411,418,356,38
