10,16,22,16,9,9,11,15,15,16,16,16,16,14,13,20,35,36,35,32,30,36,35,39,46,43,50,51,50,48,45,45,45,47,46,45,46,46,46,47,47,47,47,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
144,153,171,185,197,211,212,161,154,160,94,80,78,87,94,97,102,112,118,118,120,127,134,120,135,144,192,225,310,375,455,518,596,674,660,615,653,652,778,812,809,824,899,839,882,866,894,950,984,1050,1169,1227,1374,1388,1357,1350,1369,1423,1412,1307,1374,1357,1405,1414,1335,1342,1347,1393,1283
136,137,143,144,143,142,143,144,145,144,149,145,144,145,149,147,151,151,149,150,149,149,150,149,150,150,154,153,154,19,19,19,19,15,4,5,13,8,14,16,19,18,18,18,21,23,23,23,30,29,29,29,29,29,29,32,33,33,35,34,32,35,35,32,30,30,30,30,30
340,352,366,354,371,363,379,388,389,373,371,379,379,379,373,383,385,386,383,384,392,395,389,397,390,396,398,398,394,402,400,399,406,415,410,416,413,414,418,419,432,435,432,432,438,443,439,433,432,442,443,444,459,456,454,458,456,460,471,472,482,475,477,478,482,479,481,481,477
665,664,675,668,674,675,687,688,694,694,700,705,709,710,714,727,725,735,748,764,760,762,775,782,782,782,782,793,797,799,804,810,814,823,834,828,842,852,852,848,855,872,867,879,881,890,462,459,465,466,471,483,491,492,482,484,491,506,506,495,498,510,508,459,438,395,337,253,160
352,369,411,430,486,523,591,573,620,655,636,654,665,645,671,697,813,769,829,920,986,978,992,1046,1092,1112,1194,1213,1245,1294,1357,1405,1478,1537,1522,1553,1610,1629,1644,1653,1733,1765,1686,1701,1741,1765,1799,1835,1865,1943,1930,1963,1967,1992,2044,2127,2141,2104,2089,2114,2154,2181,2196,2214,2306,2364,2395,2429,2377
417,385,423,418,445,466,488,508,510,522,545,550,568,584,595,608,620,629,634,644,656,677,538,327,369,383,417,419,431,423,422,439,446,462,465,467,472,487,498,505,521,519,533,543,537,510,471,470,473,460,477,477,478,479,487,483,490,494,504,502,513,503,507,504,502,500,500,503,500
856,926,961,964,961,976,971,1009,1060,1130,1127,1142,1144,1155,1231,1286,163,143,180,208,212,233,246,273,291,314,353,331,330,336,375,380,402,462,498,471,497,498,541,549,612,659,686,718,740,781,803,864,1242,1181,1239,1263,1305,1316,1351,1372,1389,1400,1432,1460,1488,1387,452,442,325,300,279,281,253
5,5,6,6,7,4,5,9,13,10,11,9,8,8,3,4,5,10,10,5,8,11,7,7,20,33,42,38,25,27,37,39,32,36,32,34,39,49,45,45,35,36,40,38,39,34,35,39,49,39,47,47,46,43,50,50,54,57,64,66,61,63,69,70,70,65,77,69,64
4147,4220,4294,4420,4525,4602,4713,4719,4951,4965,5085,5124,5305,5348,5465,5548,5580,5639,5726,5698,5694,5795,5813,5820,5482,4744,4863,4918,5030,5099,5246,5359,5590,5696,5888,5983,6127,6187,6302,6397,6451,6560,6619,6709,6810,6878,6947,7019,7167,7284,7332,7466,7513,7565,7668,7742,7860,7909,7937,8020,8091,8127,8213,8253,3233,3343,3334,3423,3425
