"['title']","['url']","['createdAt']","['closedAt']"
"Standalone MockMvc ignores @RestControllerAdvice annotation attributes","https://github.com/spring-projects/spring-framework/issues/25520","2020-8/4","2020-8/5"
"Allow to access the underlying ConnectionFactory from DatabaseClient","https://github.com/spring-projects/spring-framework/issues/25521","2020-8/4","2020-8/4"
"StaticListableBeanFactory.isSingleton() returns false for singleton beans","https://github.com/spring-projects/spring-framework/issues/25522","2020-8/4","2020-8/4"
"StaticListableBeanFactory.isSingleton() returns false for singleton beans","https://github.com/spring-projects/spring-framework/issues/25523","2020-8/4","2020-8/4"
"StaticListableBeanFactory.isSingleton() returns false for singleton beans","https://github.com/spring-projects/spring-framework/issues/25524","2020-8/4","2020-8/4"
"StaticListableBeanFactory.isSingleton() returns false for singleton beans","https://github.com/spring-projects/spring-framework/issues/25525","2020-8/4","2020-8/4"
"Upgrade to JUnit 5.7","https://github.com/spring-projects/spring-framework/issues/25527","2020-8/4","2020-9/13"
"Reactor's withVirtualTime breaks cached contexts in tests","https://github.com/spring-projects/spring-framework/issues/25529","2020-8/4","2020-8/13"
"Version number not displayed in ObjectOptimisticLockingFailureException","https://github.com/spring-projects/spring-framework/issues/25530","2020-8/5","2020-8/6"
"Possible optimization in UrlResource","https://github.com/spring-projects/spring-framework/issues/25531","2020-8/5","2020-8/7"
"TransactionAspectSupport fails to select reactive transaction manager when both transaction manager variants are present","https://github.com/spring-projects/spring-framework/issues/25532","2020-8/5","2021-1/23"
"Upgrade Hibernate support baseline to 5.2+","https://github.com/spring-projects/spring-framework/issues/25533","2020-8/5","2020-8/5"
"RestTemplate cannot use streaming and interceptors","https://github.com/spring-projects/spring-framework/issues/25534","2020-8/5","2020-8/5"
"Provide a way to read/write fixed-length byte chunks","https://github.com/spring-projects/spring-framework/issues/25535","2020-8/5","null"
"MockHttpServletResponse's setCharacterEncoding() does not update contentType property","https://github.com/spring-projects/spring-framework/issues/25536","2020-8/5","2020-8/10"
"Webflux Routing DSL's onError filters execute in unexpected order","https://github.com/spring-projects/spring-framework/issues/25541","2020-8/6","2020-10/6"
