"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Xss protection encoding html entities looks wrong in admin","2020-8/19","2020-9/19","2020-8/19",True,"2020-9/19",4,50,6
"Fixed Spring DataBinder warning","2020-8/19","2020-8/19","2020-8/19",False,"null",3,60,60
"Adding ability to mark a payment type as ""Credit Card Type"" for transaction confirmation handling","2020-8/19","2020-8/19","2020-8/19",True,"2020-8/19",2,18,4
"Revert ""Track that offer code was removed from the cart because of expiration and notify user""","2020-8/19","2020-8/19","2020-8/19",True,"2020-8/19",1,2,22
"Changes to support validation on CMS fields","2020-8/20","2020-8/20","2020-8/20",True,"2020-8/20",1,15,8
"With cache off actuator mbean for cache is failing on startup","2020-8/20","2020-8/20","2020-8/20",True,"2020-8/20",3,12,3
"Expired offer code refactoring","2020-8/20","2020-9/20","2020-8/20",True,"2020-9/20",2,40,1
"Made asset lookups translatable","2020-8/20","2020-8/20","2020-8/20",True,"2020-8/20",2,142,53
"Fixed Spring DataBinder warning","2020-8/20","2021-2/20","2020-8/20",True,"2021-2/20",2,48,48
"New Credit Card types ","2020-8/21","2020-8/21","2020-8/21",True,"2020-8/21",4,19,3
"Backport of image translations","2020-8/21","2020-8/21","2020-8/21",True,"2020-8/21",2,99,5
"ProductOption hashcode issues","2020-8/27","2020-8/27","2020-8/27",True,"2020-8/27",2,4,6
"Fix scroll after the refactoring to be compatible with ES5/6","2020-8/28","2020-8/28","2020-8/28",True,"2020-8/28",2,10,6
"Add back support of allowNoValueEnumOption","2020-9/1","2020-9/1","2020-9/1",True,"2020-9/1",2,21,6
"Fix sorting with name filter","2020-9/2","2020-9/2","2020-9/2",True,"2020-9/2",3,11,4
"Offer code max use fix","2020-9/3","2020-9/3","2020-9/3",True,"2020-9/3",2,1,1
"Fix sorting with name filter","2020-9/3","2020-9/3","2020-9/3",True,"2020-9/3",3,11,4
"Fix html tag","2020-9/4","2020-9/4","2020-9/4",True,"2020-9/4",4,1,2
"Fixes an issue where the Product list from the admin Category page is filtering out Product Bundles","2020-9/8","2020-9/8","2020-9/8",True,"2020-9/8",3,25,9
"Adding the ability to support dashes in the system property names created/managed in the admin","2020-9/8","2020-9/8","2020-9/8",True,"2020-9/8",2,3,3
"Use locale specific number formats to check numbers","2020-9/11","2020-9/11","2020-9/11",True,"2020-9/11",3,30,7
"Set solr optimize default false","2020-9/14","2020-9/14","2020-9/14",True,"2020-9/14",4,1,1
"In case of reset password link, do logic to identify profile","2020-9/14","2020-10/14","2020-9/14",True,"2020-10/14",3,6,1
"Fix reserved word rank for MySQL 8.0","2020-9/15","2020-10/15","2020-9/15",True,"2020-10/15",3,1,1
"Fix warm messages ","2020-9/16","2020-10/16","2020-9/16",True,"2020-10/16",3,1,0
"Fix bug where phone numbers wouldn't show in the admin and couldn't be updated","2020-9/17","2021-5/17","2020-9/17",True,"2021-5/17",3,3,3
"Use PaymentType.isCreditCardType() where appropriate","2020-9/17","2020-9/17","2020-9/17",True,"2020-9/17",2,53,15
"Fix radio buttons are not initialized","2020-9/17","2020-9/17","2020-9/17",True,"2020-9/17",2,1,1
"NPE fix for FormBuilderService when ContentTargeter is created","2020-9/23","2020-9/23","2020-9/23",True,"2020-9/23",2,1,1
"Offer currency sign","2020-9/24","2020-9/24","2020-9/24",True,"2020-9/24",2,5,1
"Disabled asset bulk removal on search and filter views","2020-9/29","2020-9/29","2020-9/29",True,"2020-9/29",2,2,0
"POM refactoring","2020-10/3","2020-10/3","2020-10/3",False,"null",1,695,256
"POM refactoring","2020-10/3","2020-12/3","2020-10/3",False,"null",2,695,256
"Fix for page empty url","2020-10/6","2020-10/6","2020-10/6",True,"2020-10/6",3,1,1
"Added the ability to override the promotion calculation logic to allow an item percent off promotion to use more precise discounting","2020-10/8","2020-10/8","2020-10/8",True,"2020-10/8",2,206,42
"fix total fulfillment price","2020-10/11","2020-11/11","2020-10/11",True,"2020-11/11",1,2,2
"Cannot create a profile based on master profile","2020-10/12","2020-10/12","2020-10/12",False,"null",2,3,2
"Javascript errors in the offer","2020-10/12","2020-10/12","2020-10/12",True,"2020-10/12",2,3,1
"Fix layout for list grid actions toolbar when too many actions","2020-10/19","2020-11/19","2020-10/19",True,"2020-11/19",2,2,0
"Add indicator that record is inherited from another catalog","2020-10/22","2021-8/22","2020-10/22",False,"null",4,10,0
"Fixed an issue where Category doesn't show up for Products","2020-10/23","2021-5/23","2020-10/23",False,"null",2,4,6
"Do not allow negative discount adjustments when evaluating offers","2020-10/29","2020-10/29","2020-10/29",True,"2020-10/29",2,6,0
