['closedAt'],['createdAt'],['title'],['url']
,2017-9/13,Add Alert before erasing,https://github.com/numworks/epsilon/issues/128
2020-3/6,2017-9/13,Euclidian division,https://github.com/numworks/epsilon/issues/129
2017-9/20,2017-9/14,"Integrating the bell curve returns ""undef""",https://github.com/numworks/epsilon/issues/130
,2017-9/14,"Return ""Error"" instead of ""undef""",https://github.com/numworks/epsilon/issues/132
2020-2/20,2017-9/14,"Add conversion from/to bin, oct, dec, hex",https://github.com/numworks/epsilon/issues/133
2017-9/19,2017-9/15,Use Mathematica as calculation engine,https://github.com/numworks/epsilon/issues/135
,2017-9/15,Add a clock using the RTC,https://github.com/numworks/epsilon/issues/139
,2017-9/16,"Add arithmetical and logical operations on integers: shifts, rotates, bit field manipulation",https://github.com/numworks/epsilon/issues/144
,2017-9/16,Add comparison operators,https://github.com/numworks/epsilon/issues/145
,2017-9/16,"Add arithmetical and logical operations on integers: and, or, xor, etc.",https://github.com/numworks/epsilon/issues/146
2017-9/19,2017-9/16,"Add ""smart"" mode for degrees",https://github.com/numworks/epsilon/issues/147
,2017-9/18,[Suggestion] Allow comma to separate rows of matrix,https://github.com/numworks/epsilon/issues/150
2017-9/18,2017-9/18,[Bug] Usage of 10^x with parenthesis broken,https://github.com/numworks/epsilon/issues/151
2017-12/7,2017-9/18,[Graphics] Very unclear: divisions on powers,https://github.com/numworks/epsilon/issues/152
2017-11/6,2017-9/19,Device not detected with Ubuntu 16.04 and kernel 4.4.0-96-generic,https://github.com/numworks/epsilon/issues/153
,2017-9/20,"Need for a ""Sophus"" App",https://github.com/numworks/epsilon/issues/154
2019-1/8,2017-9/20,Add turtle graphics in Python,https://github.com/numworks/epsilon/issues/156
2017-9/27,2017-9/20,Add sample standard deviation,https://github.com/numworks/epsilon/issues/157
2020-11/5,2017-9/20,Display US definition of quartiles in Statistics,https://github.com/numworks/epsilon/issues/158
2020-3/6,2017-9/20,Exam mode hints,https://github.com/numworks/epsilon/issues/159
,2017-9/20,Import data,https://github.com/numworks/epsilon/issues/160
,2017-9/24,Cool things for the Python App,https://github.com/numworks/epsilon/issues/162
2022-6/6,2017-9/27,[statistics] Add sample variance,https://github.com/numworks/epsilon/issues/169
2017-9/27,2017-9/27,true value,https://github.com/numworks/epsilon/issues/171
2017-10/2,2017-9/28,Error when compiling apps/calculation/calculation.cpp,https://github.com/numworks/epsilon/issues/175
2017-12/21,2017-9/29,[Enhancement] Connected series,https://github.com/numworks/epsilon/issues/178
2018-3/21,2017-10/1,[bug] Assertion fail in Settings app with two languages,https://github.com/numworks/epsilon/issues/179
2017-10/2,2017-10/1,[bug] Can't leave Language submenu in the Settings app with left arrow,https://github.com/numworks/epsilon/issues/180
2020-3/6,2017-10/3,translate symbols in calculation,https://github.com/numworks/epsilon/issues/183
2021-7/22,2017-10/3,Thousands Separator ,https://github.com/numworks/epsilon/issues/184
2019-1/11,2017-10/4,gaussian probability is undef if standard deviation is not integer,https://github.com/numworks/epsilon/issues/185
2017-10/6,2017-10/5,Améliorations dans les probabilités binomiales,https://github.com/numworks/epsilon/issues/192
2018-1/5,2017-10/6,Improve accuracy in the Probability apps,https://github.com/numworks/epsilon/issues/193
2017-12/5,2017-10/6,Truncated result in the Probability app,https://github.com/numworks/epsilon/issues/194
2018-7/9,2017-10/6,Improve accuracy in the statistics apps,https://github.com/numworks/epsilon/issues/195
2018-8/24,2017-10/8,Exam LED not blinking when not processing events,https://github.com/numworks/epsilon/issues/196
2018-2/18,2017-10/9,sets deprecated?,https://github.com/numworks/epsilon/issues/197
2017-11/6,2017-10/9,Font size is too small,https://github.com/numworks/epsilon/issues/198
2017-11/6,2017-10/9,Land on the calculation app after power on,https://github.com/numworks/epsilon/issues/199
2017-11/6,2017-10/9,calculus history,https://github.com/numworks/epsilon/issues/200
,2017-10/10,poincare inside Python?,https://github.com/numworks/epsilon/issues/201
2018-1/5,2017-10/10,[Bug] derivative of absolute value,https://github.com/numworks/epsilon/issues/202
2018-2/18,2017-10/10,epsilon-build-related python script issue: python 3.6,https://github.com/numworks/epsilon/issues/203
2017-12/5,2017-10/11,"Imprecision in ""Calculation"" due to rounding",https://github.com/numworks/epsilon/issues/206
2017-12/5,2017-10/11,"Imprecision in ""Calculations"" for a square root to square",https://github.com/numworks/epsilon/issues/207
2018-2/3,2017-10/15,Calculator hangs when calculating complex integral,https://github.com/numworks/epsilon/issues/209
2017-10/20,2017-10/16,bad types on compilation,https://github.com/numworks/epsilon/issues/211
2017-10/20,2017-10/19,Compilation warnings,https://github.com/numworks/epsilon/issues/213
2017-12/21,2017-10/20,Unable to make a recurrent sequence of the first term U_1,https://github.com/numworks/epsilon/issues/217
2017-10/25,2017-10/21,unable to treat dependent series,https://github.com/numworks/epsilon/issues/218
,2017-10/21,analyze series,https://github.com/numworks/epsilon/issues/219
2017-12/5,2017-10/24,precision issue,https://github.com/numworks/epsilon/issues/220
2017-10/24,2017-10/24,Need some help compiling a new app,https://github.com/numworks/epsilon/issues/222
2017-10/24,2017-10/24,"After adding an app, the Python app disappears",https://github.com/numworks/epsilon/issues/223
2017-11/6,2017-10/24,Should deleteCharPrecedingCursor() be private?,https://github.com/numworks/epsilon/issues/226
2017-11/6,2017-10/26,format the result's display,https://github.com/numworks/epsilon/issues/228
2017-11/1,2017-10/26,Problems while building the web simulator,https://github.com/numworks/epsilon/issues/229
,2017-10/27,[enhancement] to the infinity and beyond ,https://github.com/numworks/epsilon/issues/230
2017-12/5,2017-10/27,screen overflow in Python app,https://github.com/numworks/epsilon/issues/231
2017-12/7,2017-11/1,bug in the coordinates display,https://github.com/numworks/epsilon/issues/232
2018-11/23,2017-11/6,infinity and multiplication,https://github.com/numworks/epsilon/issues/234
2017-11/11,2017-11/10,Glitchy graph,https://github.com/numworks/epsilon/issues/235
2018-5/24,2017-11/10,Pows: inconsistancy,https://github.com/numworks/epsilon/issues/236
2017-12/5,2017-11/11,Python: need full error message,https://github.com/numworks/epsilon/issues/237
2017-12/6,2017-11/15,invalid characters on windows simulator,https://github.com/numworks/epsilon/issues/240
2018-5/24,2017-11/15,Graph: Y-auto doesn't play well with a vertical asympote,https://github.com/numworks/epsilon/issues/241
2019-10/7,2017-11/15,windows simulator: crash when running python,https://github.com/numworks/epsilon/issues/242
