"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Int 2235","2011-11/22","2011-11/22","2011-11/22",True,"2011-11/22",3,567,5
"INT-2257 - Payload Enricher - Handle ""Null"" Messages due to reply-timeout","2011-11/22","2011-11/22","2011-11/22",False,"null",2,107,2
"added wrapper for ConversionServiceFactoryBean","2011-11/22","2011-11/22","2011-11/22",True,"2011-11/22",2,20,1
"INT-2258 In enricher: add setRequiresReply to XSD","2011-11/22","2011-11/22","2011-11/22",False,"null",2,116,4
"INT-2238 interim commit","2011-11/22","2011-11/22","2011-11/22",False,"null",2,51,61
"catching and ignoring Exception","2011-11/23","2011-11/23","2011-11/23",False,"null",3,12,5
"Int 2254 maint","2011-11/23","2011-11/23","2011-11/23",False,"null",2,17,7
"INT-2236: Convert channels MessageHeaders before serialization","2011-11/23","2011-11/23","2011-11/23",False,"null",2,30,5
"INT-2235-updated","2011-11/23","2011-11/23","2011-11/23",False,"null",2,101,95
"INT-2270 upgraded Groovy module to Groovy 1.8.4","2011-11/23","2011-11/23","2011-11/23",True,"2011-11/23",2,17,17
"INT-2236: Manual: limitations for presistence MessageStore","2011-11/25","2011-12/25","2011-11/25",False,"null",3,32,0
"INT-2276 initial push","2011-11/27","2011-12/27","2011-11/27",False,"null",1,3405,0
"INT-2274: Manual par. 7.6.2 Groovy Control Bus","2011-11/28","2011-12/28","2011-11/28",False,"null",3,8,2
"INT-2273: Manual 3.2: SpEL for Channel Adapters","2011-11/28","2011-12/28","2011-11/28",False,"null",3,7,1
"INT-2279 upgraded Spring WS to 2.0.3","2011-11/28","2011-11/28","2011-11/28",True,"2011-11/28",2,33,33
"INT-2278","2011-11/28","2011-11/28","2011-11/28",False,"null",2,25,3
"INT-2265","2011-11/28","2011-11/28","2011-11/28",False,"null",2,12,24
"Int 2278 maint","2011-11/28","2011-11/28","2011-11/28",False,"null",2,25,3
"INT-2280","2011-11/29","2011-11/29","2011-11/29",True,"2011-11/29",2,5,5
"INT-2283","2011-11/29","2011-11/29","2011-11/29",False,"null",2,29,29
"INT-2282, INT-2284","2011-11/29","2011-11/29","2011-11/29",False,"null",2,100,3
"INT-2268 Fix Spurious Failing Test","2011-11/29","2011-11/29","2011-11/29",False,"null",2,54,50
"INT-2267","2011-11/29","2011-11/29","2011-11/29",True,"2011-11/29",2,124,116
"INT-2286","2011-11/29","2011-11/29","2011-11/29",False,"null",2,41,41
"INT-2035 Remove Dangling Import","2011-11/29","2011-11/29","2011-11/29",False,"null",2,1,1
"INT-2287 Timing Hole With Send-and-Forget TCP","2011-11/30","2011-11/30","2011-11/30",False,"null",2,58,37
"INT-2288: Make ResourceInboundChannelAdapterParserTests independents of OS","2011-11/30","2011-12/30","2011-11/30",False,"null",3,43,20
"INT-2261","2011-11/30","2011-12/30","2011-11/30",False,"null",2,101,0
"INT-2291 polished failing test","2011-12/1","2011-12/1","2011-12/1",False,"null",2,8,1
"Int 2291 maint","2011-12/1","2011-12/1","2011-12/1",False,"null",2,18,11
"INT-2233 - Updated links to Github","2011-12/2","2011-12/2","2011-12/2",False,"null",3,97,27
"INT-2293","2011-12/2","2011-12/2","2011-12/2",True,"2011-12/2",2,2,2
"INT-2244 - add ExpressionEvaluatingSqlParameterSourceFactory example to ...","2011-12/2","2011-12/2","2011-12/2",False,"null",2,98,19
"INT-2298 Remove Versions From Schemas in Reference","2011-12/6","2011-12/6","2011-12/6",False,"null",3,35,35
"INT-2300: Manual: update xpath-router sample","2011-12/8","2011-12/8","2011-12/8",False,"null",3,6,8
"INT-1868 using generic JMS 1.1 API only","2011-12/9","2011-12/9","2011-12/9",False,"null",2,5,42
"INT-2294 fixed null check for soapHeader (rather than source)","2011-12/9","2011-12/9","2011-12/9",True,"2011-12/9",3,3,3
"INT-2294 Add SoapHeaderMapper Unit Tests","2011-12/9","2011-12/9","2011-12/9",True,"2011-12/9",2,81,3
"updated HTTP module for 3.1 support","2011-12/12","2011-12/12","2011-12/12",False,"null",3,35,5
"refactored test code for compatibility with Spring Security 3.1","2011-12/12","2011-12/12","2011-12/12",True,"2011-12/12",3,32,33
"INT-2297","2011-12/14","2011-12/14","2011-12/14",False,"null",2,398,72
"INT-2295 fixed parser logic to eliminate STS warning","2011-12/14","2011-12/14","2011-12/14",False,"null",2,5,7
"INT-2297-new","2011-12/14","2011-12/14","2011-12/14",True,"2011-12/14",2,78,89
"INT-2299","2011-12/14","2011-12/14","2011-12/14",False,"null",2,53,4
"INT-2291 polished test","2011-12/15","2011-12/15","2011-12/15",False,"null",2,41,43
"INT-2306 fixed populateUserDefinedHeaders() to account for standard head...","2011-12/15","2011-12/15","2011-12/15",True,"2011-12/15",2,15,4
