"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"INT-2959 Correct Schema GW reply-timeout Doc.","2013-3/22","2013-3/22","2013-3/22",False,"null",2,15,9
"INT-2954 (S)FTP Fix AutoCreate Top Level Dir","2013-3/22","2013-3/22","2013-3/22",False,"null",2,41,10
"INT-2831: Add Jackson 2 support","2013-3/23","2013-4/23","2013-3/23",False,"null",2,1067,223
"INT-2968 SFTP - Update JSch to 1.49","2013-3/27","2013-3/27","2013-3/27",False,"null",2,1,1
"INT-2971: AMPQ 'header-mapper' XSD polishing","2013-4/1","2013-4/1","2013-4/1",False,"null",2,186,34
"INT-2970 Update to Spring-AMQP 1.2.0.M1","2013-4/1","2013-4/1","2013-4/1",True,"2013-4/1",2,48,26
"Fix a compile error that happens on Eclipse import only","2013-4/2","2013-5/2","2013-4/2",False,"null",3,10,0
"INT-2981 Add Support for 'mv' to (S)FTP Outbound Gateways","2013-4/5","2013-4/5","2013-4/5",False,"null",2,562,163
"INT-2982 syslog Inbound Channel Adapter","2013-4/8","2013-4/8","2013-4/8",False,"null",4,1440,44
"INT-2980 Jdbc Message Store: Polling Wrong Message","2013-4/10","2013-4/10","2013-4/10",False,"null",3,1020,7
"INT-2989 Increase JMS Test Timeouts","2013-4/10","2013-4/10","2013-4/10",False,"null",2,227,123
"INT-2926:Remove deprecation warnings in CacheServerProcess in the gemfire module","2013-4/11","2013-4/11","2013-4/11",False,"null",2,10,13
"INT-2991 Filtered Messages Marked SEEN","2013-4/11","2013-4/11","2013-4/11",False,"null",3,49,6
"INT-2985 - Upgrade to Gradle 1.5","2013-4/11","2013-4/11","2013-4/11",True,"2013-4/11",2,5,5
"INT-2964 - Make Spring Integration buildable with JDK8","2013-4/15","2013-4/15","2013-4/15",False,"null",2,353,330
"INT-2992 - Upgrade Derby Test Dependencies","2013-4/16","2013-4/16","2013-4/16",True,"2013-4/16",2,66,55
