['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
1,2011-8/10,2011-8/10,0,True,2011-8/10,2,2011-8/10,Touched an inappropriate file
1,2011-8/10,2011-8/10,0,True,2011-8/10,1,2011-8/10,modified text (testing)
0,2011-8/11,2011-8/11,2,True,2011-8/11,1,2011-8/11,removed inappropriate.txt
6,2011-8/11,2011-8/11,6,True,2011-8/11,2,2011-8/11,INT-2040 changed signature of MessageStore.getMessageCount() to return lo
7,2011-8/11,2011-8/11,3,True,2011-8/11,2,2011-8/11,INT-2046 added @ManagedAttribute to MessageStores
36,2011-8/11,2011-8/11,30,False,,2,2011-8/11,INT-2030 polished RedisMessageGroup
1,2011-8/13,2011-8/13,1,True,2011-8/13,2,2011-8/13,INT-2040 Broken JMX Test
2303,2011-8/13,2011-8/13,16,False,,1,2011-8/13,INT-1884 Intermittent JMX Test Failure
2,2011-8/13,2011-8/13,1,True,2011-8/13,2,2011-8/13,INT-1884 Intermittent JMX Test Failure
2300,2011-9/13,2011-8/13,16,False,,2,2011-8/13,INT-1945 Initial Commit
101,2011-8/13,2011-8/13,17,True,2011-8/13,2,2011-8/13,Add 'loggerName' property.
437,2011-8/14,2011-8/14,429,True,2011-8/14,3,2011-8/14,GemFire cleanup
1499,2011-8/14,2011-8/14,17,False,,1,2011-8/14,INT-2049
1042,2011-8/14,2011-8/14,17,False,,2,2011-8/14,Int 2049
31,2011-8/16,2011-8/16,21,True,2011-8/16,2,2011-8/16,INT-2052
96,2011-8/16,2011-8/16,45,True,2011-8/16,2,2011-8/16,INT-2043
10,2011-8/17,2011-8/17,10,True,2011-8/17,2,2011-8/17,Int 2047
437,2011-8/17,2011-8/17,429,True,2011-8/17,2,2011-8/17,Int2060
18,2011-8/18,2011-8/18,3,True,2011-8/18,2,2011-8/18,INT-2062
14,2011-8/18,2011-8/18,2,True,2011-8/18,2,2011-8/18,INT-2061
63,2011-8/18,2011-8/18,56,False,,2,2011-8/18,INT-2062 - Fixed GemfireMessageGroupStoreTest (changed Set to List to avo
279,2011-8/18,2011-8/18,304,True,2011-8/18,2,2011-8/18,inbound-gateway now supports all attributes
