"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"[SPR 12363] org.springframework.ui.ModelMap.mergeAttributes(Map) makes inefficient use of keySet iterator instead of entrySet iterator","2014-10/23","2014-10/23","2014-10/23",False,"null",2,5,3
"Some methods in the org.springframework.core.task.AsyncListenableTaskExecutor class need to be added.","2014-10/23","2021-11/23","2014-10/23",False,"null",6,392,144
"[Spr 12365] use valueOf() method instead of inefficient new Constructor.","2014-10/23","2014-10/23","2014-10/23",False,"null",2,6,6
"Update README.md","2014-10/23","2014-10/23","2014-10/23",False,"null",1,1,1
"The filed PropertyDescriptor in the org.springframework.beans.PropertyValue needs to be transient to avoid serialization and deserialization failure in case of resolvedDescriptor in the PropertyValue is not null.","2014-10/25","2014-10/25","2014-10/25",False,"null",2,138,1
"[SPR-12378] Improvement of BeanWrapperImpl.getPropertyValue(PropertyTokenHolder tokens), setPropertyValue(PropertyTokenHolder tokens, PropertyValue pv)","2014-10/26","2014-10/26","2014-10/26",False,"null",2,2,4
"Comparison of String objects using == or != in","2014-10/28","2014-10/28","2014-10/28",False,"null",2,1,1
"org.springframework.oxm.xmlbeans.XmlOptionsFactoryBean.setOptions(Map)","2014-10/28","2014-10/28","2014-10/28",False,"null",2,3,2
"[Spr 12365] ValueOf method is replaced to autoboxing.","2014-10/28","2014-10/28","2014-10/28",False,"null",2,6,6
"AutowireUtils$ObjectFactoryDelegatingInvocationHandler.invoke() Parameter value must be null check. ","2014-10/28","2016-2/28","2014-10/28",False,"null",2,6,2
"In, AutowireUtils.sortConstructors(), Using valueOf is faster than using constructor","2014-10/28","2014-10/28","2014-10/28",False,"null",2,2,2
"CharacterEditor.setAsText() and setAsUnicode(), Using valueOf is faster than using constructor","2014-10/28","2014-10/28","2014-10/28",False,"null",2,3,3
"Adapter ScrollableResults -> Spliterator","2014-10/28","2021-11/28","2014-10/28",False,"null",5,561,0
"Check for PersistenceContext.synchronization() in PersistenceAnnotationBeanPostProcessor","2014-10/30","2014-10/30","2014-10/30",False,"null",2,1,1
