"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Avoid duplicated code by using map","2021-7/4","2021-7/4","2021-7/4",False,"null",3,17,26
"Avoid duplicated code by using map","2021-7/4","2022-9/4","2021-7/4",False,"null",5,17,23
"New main","2021-7/4","2021-7/4","2021-7/4",False,"null",17,5189,2282
"ok","2021-7/4","2021-7/4","2021-7/4",False,"null",3,50322,90667
"Fix link to Javadoc API","2021-7/10","2021-7/10","2021-7/10",False,"null",3,1,1
"Avoid calling executeBatch() with 0 batch size","2021-7/11","null","2021-7/11",False,"null",4,29,1
"Add Javadoc `@since` to `BeanDefinitionBuilder.setSynthetic()`","2021-7/12","2021-7/12","2021-7/12",False,"null",3,1,0
"Allow builder to set constructor detector for object mapper","2021-7/13","2021-8/13","2021-7/13",False,"null",3,55,0
"update branch","2021-7/14","2021-7/14","2021-7/14",False,"null",3,0,0
"Gushizhao","2021-7/16","2021-7/16","2021-7/16",False,"null",15,9109,3681
"Expand relative URI for RestTemplate if possible","2021-7/19","null","2021-7/19",False,"null",3,37,2
"1","2021-7/19","2021-7/19","2021-7/19",False,"null",1,0,0
"Allow specifying of CoroutineContext in invokeSuspendingFunction","2021-7/20","2022-9/20","2021-7/20",False,"null",4,12,2
"Do not close response for InputStreamResource","2021-7/21","2021-7/21","2021-7/21",False,"null",3,68,2
"Allow overriding invokeSuspendingFunction","2021-7/21","2022-9/21","2021-7/21",False,"null",4,12,1
"Get class names via Class object","2021-7/22","2021-7/22","2021-7/22",False,"null",3,6,6
"Use MessageSource for @ExceptionHandler methods","2021-7/23","2021-7/23","2021-7/23",False,"null",3,72,3
"Reduce visibility of constructors in ScriptException","2021-7/24","2021-7/24","2021-7/24",False,"null",3,2,2
"Merge pull request #1 from spring-projects/master","2021-7/26","2021-7/26","2021-7/26",False,"null",3,0,0
"Merge pull request #1 from spring-projects/master","2021-7/26","2021-7/26","2021-7/26",False,"null",3,0,0
"Fix JDK proxy causing controller to fail to register","2021-7/27","2021-7/27","2021-7/27",False,"null",3,14,2
"Fix  error message in SynchronossPartHttpMessageReader","2021-7/27","2021-7/27","2021-7/27",False,"null",4,2,2
"5.2.x","2021-7/28","2021-7/28","2021-7/28",False,"null",14,4258,1050
"Fix typo in Javadoc in AbstractHandlerMapping","2021-7/28","2021-7/28","2021-7/28",True,"2021-7/28",3,2,2
"Clarify that ClientRequest.from(..) also copies body","2021-7/28","2021-8/28","2021-7/28",False,"null",6,37,4
"Fix reference to Optional.isPresent() in ObjectUtils.isEmpty()","2021-7/29","2021-7/29","2021-7/29",True,"2021-7/29",3,1,1
"Add support for batch operations (R2DBC)","2021-7/30","null","2021-7/30",False,"null",6,190,26
"Simplify getInternalBeanFactoryForBean","2021-7/30","2021-7/30","2021-7/30",True,"2021-7/30",3,1,6
"Improve performance of CompositePropertySource#getPropertyNames","2021-8/2","null","2021-8/2",False,"null",4,91,4
"Polish `PrintingResultHandlerIntegrationTests.printMvcResultsToWriterWithFailingGlobalResultMatcher()`","2021-8/4","2021-8/4","2021-8/4",False,"null",4,2,0
"Replace XMLReaderFactory with SAXParserFactory","2021-8/4","2021-12/4","2021-8/4",False,"null",4,71,34
"Polish test classes","2021-8/7","2021-8/7","2021-8/7",False,"null",3,1115,1121
"Fix typo in DefaultPartHttpMessageReader","2021-8/11","2021-8/11","2021-8/11",False,"null",4,1,1
"Emit WebClientResponseException for malformed HTTP response","2021-8/11","2021-10/11","2021-8/11",False,"null",4,177,16
"Bugfix/webflux Fix a support method logic of ServerResponseResultHandler .","2021-8/12","2021-9/12","2021-8/12",False,"null",4,1,1
"Using lazy ConfigurableEnvironment to reduce unnecessary object creation","2021-8/13","null","2021-8/13",False,"null",3,165,1
"Implement a MockReactiveRestServiceServer for WebClient testing","2021-8/14","null","2021-8/14",False,"null",3,756,2
"Improve the fluency of the ResponseCreator API","2021-8/14","2022-9/14","2021-8/14",False,"null",3,449,5
"Add class-level execution phases for @Sql","2021-8/16","null","2021-8/16",False,"null",4,215,11
"Adding a hasAnyContributors() to CompositeUriComponentsContributor","2021-8/17","2021-8/17","2021-8/17",False,"null",3,14,1
"Fix duplicated ""the"" occurrences in Javadoc and XSD","2021-8/18","2021-8/18","2021-8/18",False,"null",3,16,16
"Code note","2021-8/19","2021-8/19","2021-8/19",False,"null",4,1,0
"1","2021-8/19","2021-8/19","2021-8/19",False,"null",3,1,0
"Fix typo in comments in RecordComponentWriter","2021-8/19","2021-8/19","2021-8/19",False,"null",4,1,1
"Fix grammatical errors in Javadoc","2021-8/19","2021-8/19","2021-8/19",True,"2021-8/19",3,5,5
"Merge pull request #1 from spring-projects/master","2021-8/20","2021-8/20","2021-8/20",False,"null",3,0,0
"Fix UrlPathHelper#shouldRemoveSemicolonContent()","2021-8/20","2021-8/20","2021-8/20",True,"2021-8/20",3,6,1
"Propagate `CoroutineContext` in reactive transaction","2021-8/21","null","2021-8/21",False,"null",11,94,15
"Support `TimeUnit` in the `@Scheduled` annotation","2021-8/21","2021-8/21","2021-8/21",False,"null",4,245,17
"Fix duplicated ""the"" occurrences in Javadoc","2021-8/23","2021-8/23","2021-8/23",False,"null",4,1,1
"Resolve handler variable in mapping path","2021-8/26","2021-9/26","2021-8/26",False,"null",3,140,11
