['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
4,2011-7/9,2011-2/9,5,False,,2,2011-2/9,Spring core JMS pom.xml
32,2011-9/6,2011-9/6,24,False,,1,2011-9/6,Improve annotation processing thread-safety
2,2012-2/23,2011-11/23,2,False,,6,2011-11/23,Fixes https://jira.springsource.org/browse/SPR-7721
54,2012-2/29,2011-11/29,0,False,,6,2011-11/29,SPR-7752 - EntityManager proxy now exposes provider specific interface.
43,2012-2/29,2011-11/29,1,False,,6,2011-11/29,SPR-7679 - Qualified TransactionManager now also found if declared in parent context
0,2011-12/16,2011-12/16,2,False,,2,2011-12/16,quick changelog typo fix
278,2012-4/18,2011-12/18,15,False,,2,2011-12/18,SPR-8308: OpPlus should convert operand values to String using registered converters
58,2011-12/20,2011-12/20,0,True,2011-12/20,1,2011-12/20,Add readme
137,2011-12/22,2011-12/22,11,False,,2,2011-12/22,SPR-8938
77,2021-11/24,2011-12/24,16,False,,6,2011-12/24,Re: SPR-8941: Lifecycle processing ignores phases for circularly dependent SmartLifecycle beans
526,2012-1/5,2012-1/5,15,False,,2,2012-1/5,Scripting
0,2012-1/5,2012-1/5,0,True,2012-1/5,2,2012-1/5,Work in Progress for SPR-8986
169,2012-1/6,2012-1/6,20,True,2012-1/6,2,2012-1/6,SPR-8986. Added in the ability to scan for JAXB annotated classes in pac...
611,2012-5/7,2012-1/7,28,False,,4,2012-1/7,Introduce (and Review) ScriptEvaluator abstraction
172,2012-1/7,2012-1/7,21,False,,2,2012-1/7,SPR-8986. Added in the ability to scan for JAXB annotated classes in pac...
100,2012-2/10,2012-1/10,3,True,2012-2/10,3,2012-1/10,Check original beanClass in #isFactoryBean calls
319,2012-1/10,2012-1/10,301,False,,2,2012-1/10,"Polish ""Support flash attrs..."" and related classes"
454,2012-5/12,2012-1/12,26,False,,2,2012-1/12,SPR-8097 Polymorphism for BeanWrapperImpl
119,2012-1/20,2012-1/20,14,True,2012-1/20,2,2012-1/20,SPR-8974 Fix regression in UriUtils.java
2,2012-2/23,2012-1/23,2,False,,2,2012-1/23,[SPR-8347] use .equals() in place of == when comparing objects
331,2012-2/26,2012-1/26,333,True,2012-2/26,2,2012-1/26,spr9038: can override the set of methods computed by method resolver
1897,2012-1/27,2012-1/27,27573,True,2012-1/27,2,2012-1/27,Migrate build system to Gradle
5,2012-2/31,2012-1/31,0,False,,2,2012-1/31,"SPR-9073 Added ""ant resolve"" to the top level"
329,2012-2/1,2012-2/1,332,False,,1,2012-2/1,spr9038: can override the set of methods computed by method resolver
10,2012-2/3,2012-2/3,5,True,2012-2/3,3,2012-2/3,Fixes for SimpleJdbcInsert [SPR-9006]
23,2012-2/3,2012-2/3,6,False,,2,2012-2/3,Improved ResourceDatabasePopulator [SPR-8932]
35,2012-2/6,2012-2/6,4,False,,2,2012-2/6,Improved named parameter parsing of single quotes
65,2012-5/7,2012-2/7,3,False,,2,2012-2/7,set systemId on InputSource before parsing configuration
186,2012-2/8,2012-2/8,188,False,,1,2012-2/8,SPR-9097 patch
389,2012-5/8,2012-2/8,0,False,,3,2012-2/8,Validation
531,2014-5/9,2012-2/9,0,False,,3,2012-2/9,SPR-7655 TestExecutionListener to run sql scripts before each test method
46,2012-2/9,2012-2/9,8,False,,2,2012-2/9,Fix for SPR 9096
336,2012-2/9,2012-2/9,4,True,2012-2/9,2,2012-2/9,SQL exception translation enhancements
12,2012-5/11,2012-2/11,30,False,,2,2012-2/11,fixed some warnings in Eclipse mostly be removing @SuppressWarnings that...
2,2012-4/12,2012-2/12,2,False,,2,2012-2/12,Fix encoding issues in javadoc
184,2012-4/12,2012-2/12,186,False,,2,2012-2/12,Fix javadoc warnings
30,2012-5/13,2012-2/13,17,False,,2,2012-2/13,Small memory fixes
82,2012-3/14,2012-2/14,1,False,,3,2012-2/14,Escape names of databound form tags
14,2012-2/15,2012-2/15,1,False,,2,2012-2/15,[fix:SPR-8983]Fixes NPE when resolving ServletResponse arguments of init...
0,2012-6/15,2012-2/15,0,False,,2,2012-2/15,Initial implementation of JacksonObjectMapperBeanFactory (SPR-9125).
19,2012-2/16,2012-2/16,2,False,,2,2012-2/16,Predict specific object type in EhCacheFactoryBean
14,2012-5/18,2012-2/18,3,False,,2,2012-2/18,Fix circular placeholder prevention
1171,2014-4/29,2012-2/29,142,False,,5,2012-2/29,Add support for creating test contexts with parent context
1,2012-3/29,2012-2/29,1,False,,2,2012-2/29,"Remove extraneous misspelled word ""hvae"" from file."
