"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"3.2.5 jmx exception when create MBeans","2013-11/16","2013-11/16","2013-11/16",False,"null",14,7206,4274
"UPDATE","2013-11/19","2013-11/19","2013-11/19",False,"null",1,0,0
"Fix standard multipart binding + Polish","2013-11/19","2013-11/19","2013-11/19",False,"null",2,29,9
"Upgrade Jetty to 9.1.0 GA","2013-11/19","2013-11/19","2013-11/19",False,"null",3,11,10
"Update AbstractMessageSource.java","2013-11/21","2019-1/21","2013-11/21",False,"null",7,10,3
"Fix typos throughout project","2013-11/24","2013-11/24","2013-11/24",False,"null",2,55,55
"Catch No RequestUpgradeStrategy exc during new DefaultHandshakeHandler()","2013-11/25","2013-11/25","2013-11/25",False,"null",2,15,4
"3.2.1","2013-11/26","2013-12/26","2013-11/26",False,"null",3,287,37
"Support meta-annotation attr overrides in the TCF","2013-11/26","2013-11/26","2013-11/26",False,"null",1,1098,165
"Spring Framework","2013-11/28","2013-12/28","2013-11/28",False,"null",2,1,0
"Document websocket XML namespace","2013-12/3","2013-12/3","2013-12/3",False,"null",1,333,36
"typo in pointcut expression","2013-12/6","2014-3/6","2013-12/6",False,"null",2,2,2
"Sort the scanned Hibernate entities by name","2013-12/9","2013-12/9","2013-12/9",False,"null",1,46,2
"Added http://repo.spring.io/libs-release repository to make the quicksta...","2013-12/10","2013-12/10","2013-12/10",False,"null",1,21,5
"Fixed a typo","2013-12/13","2013-12/13","2013-12/13",False,"null",2,7,7
"Fixed various typos and introduced some enhancements to facilitate better rendering of the html page","2013-12/13","2013-12/13","2013-12/13",False,"null",2,17,15
"Reference manual polishing","2013-12/13","2014-1/13","2013-12/13",False,"null",2,11,11
"Reference manual polishing (part 2)","2013-12/16","2015-4/16","2013-12/16",False,"null",2,91,97
"Update MvcUriComponentsBuilder.java","2013-12/18","2014-1/18","2013-12/18",False,"null",4,1,1
"Removed extraneous character from the online documentation","2014-1/4","2014-1/4","2014-1/4",False,"null",2,1,1
"Update TransactionSynchronizationUtils.java","2014-1/7","2021-11/7","2014-1/7",False,"null",6,9,0
"Documentation contribution page improvements","2014-1/8","2014-1/8","2014-1/8",False,"null",2,18,4
"SPR-11280","2014-1/8","2014-1/8","2014-1/8",False,"null",3,1,1
"SPR-11256: Added explanation regarding the special 'default' profile.","2014-1/8","2014-1/8","2014-1/8",False,"null",4,40,6
"SPR-11299: Add PATCH support to MockMvcRequestBuilders","2014-1/10","2014-1/10","2014-1/10",False,"null",3,11,0
"Added ability to set the description property on CronTrigger through CronTriggerFactoryBean","2014-1/13","2014-1/13","2014-1/13",False,"null",3,10,0
"Fixed use of Java6 API","2014-1/15","2014-1/15","2014-1/15",False,"null",1,2,2
"[SPR-11317] ServletWebRequest.checkNotModified() methods should treat HEAD identically to GET","2014-1/15","2014-1/15","2014-1/15",False,"null",2,59,6
"SPR-8696, SPR-11316: custom key generator and cache manager","2014-1/17","2014-3/17","2014-1/17",False,"null",1,652,68
"SPR-10548","2014-1/17","2014-3/17","2014-1/17",False,"null",1,236,28
"SPR-11129: Handling of HttpHeaders as controller return type","2014-1/17","2014-1/17","2014-1/17",False,"null",2,142,3
