"['title']","['url']","['createdAt']","['closedAt']"
"Font in data viewer (in Source pane) should distinguish l from I more clearly","https://github.com/rstudio/rstudio/issues/9966","2021-10/15","null"
"Unexpected text wrapping behaviour of the RStudio console","https://github.com/rstudio/rstudio/issues/9967","2021-10/16","2022-5/23"
"Regression in automatic indentation of multi-line function arguments","https://github.com/rstudio/rstudio/issues/9968","2021-10/17","2021-10/24"
"OMP_NUM_THREADS Ignored by RStudio Server","https://github.com/rstudio/rstudio/issues/9969","2021-10/17","null"
"If statements in debug mode raise a ""debug at"" error","https://github.com/rstudio/rstudio/issues/9970","2021-10/18","null"
"Provide plain text help","https://github.com/rstudio/rstudio/issues/9971","2021-10/18","2021-10/18"
"Show active tab title in detached windows' headers on Mac (and PC also probably)","https://github.com/rstudio/rstudio/issues/9974","2021-10/19","2021-10/19"
"Python interpreters search results in error pop-up in RStudio Desktop","https://github.com/rstudio/rstudio/issues/9975","2021-10/19","2021-10/26"
"Host a local server after knitting rmarkdown","https://github.com/rstudio/rstudio/issues/9977","2021-10/19","null"
"""dyld: No shared cache present"" error dialog when selecting python interpreter","https://github.com/rstudio/rstudio/issues/9978","2021-10/19","null"
"Python interpreters search results in ""dyld: No shared cache present"" on MacOS 11","https://github.com/rstudio/rstudio/issues/9979","2021-10/19","2021-10/19"
"Can't change Java memory allocation when using RStudio","https://github.com/rstudio/rstudio/issues/9982","2021-10/20","2022-5/23"
"Small menu bar on monitor","https://github.com/rstudio/rstudio/issues/9983","2021-10/20","2021-10/20"
"Allow typing in system file explorer text boxes","https://github.com/rstudio/rstudio/issues/9984","2021-10/20","null"
"RStudio restart aborts if there is an active parallel worker","https://github.com/rstudio/rstudio/issues/9988","2021-10/21","null"
"Cannot continue scrolling data after new data loaded on screen (""Loading..."")","https://github.com/rstudio/rstudio/issues/9989","2021-10/21","null"
"avoid over-aggressive setting of RETICULATE_PYTHON","https://github.com/rstudio/rstudio/issues/9990","2021-10/21","null"
"Recognize presence of an ""ED25519"" format SSH key","https://github.com/rstudio/rstudio/issues/9991","2021-10/21","2021-11/16"
"Support and document how to setup IDE dev environment on an M1 Mac","https://github.com/rstudio/rstudio/issues/9992","2021-10/22","2021-11/16"
"Visual Editor turns citekeys into plain text when editing","https://github.com/rstudio/rstudio/issues/9993","2021-10/22","2021-12/9"
"Feature Request : Save button for dataframes obtained using View() command","https://github.com/rstudio/rstudio/issues/9995","2021-10/22","null"
"IDE does not always prevent deploy of an item when its app type has changed","https://github.com/rstudio/rstudio/issues/9997","2021-10/22","null"
"Simplify Python detection to make it less likely to override RETICULATE_PYTHON","https://github.com/rstudio/rstudio/issues/9999","2021-10/22","2021-10/27"
"Unable to save to desktop on Windows","https://github.com/rstudio/rstudio/issues/10001","2021-10/23","2022-5/23"
"Show Icons only when shrunk","https://github.com/rstudio/rstudio/issues/10002","2021-10/25","2021-10/25"
"Please show what theme is currently being used!","https://github.com/rstudio/rstudio/issues/10004","2021-10/25","2021-10/25"
"Is there any way to stop visual mode from reformatting my markdown?","https://github.com/rstudio/rstudio/issues/10005","2021-10/26","2021-10/27"
"Citations don't use BetterBibTex keys","https://github.com/rstudio/rstudio/issues/10007","2021-10/26","2021-12/29"
"render commit.template in commit message window","https://github.com/rstudio/rstudio/issues/10008","2021-10/26","null"
"`shinymod` snippet is outdated","https://github.com/rstudio/rstudio/issues/10009","2021-10/26","2022-2/19"
"On Windows, associate .rproj files with RStudio","https://github.com/rstudio/rstudio/issues/10010","2021-10/26","null"
"Using base::browser() to debug and develop (shiny)","https://github.com/rstudio/rstudio/issues/10011","2021-10/27","null"
"Visual editor incorrectly rewrites escaping of hashes","https://github.com/rstudio/rstudio/issues/10012","2021-10/27","2022-5/9"
"Multiple displays and Apple Sidecar issue","https://github.com/rstudio/rstudio/issues/10013","2021-10/27","2022-5/13"
"github-actions bot is marking relevant issues as stale","https://github.com/rstudio/rstudio/issues/10014","2021-10/27","2021-10/27"
"A repro has to be named 'CRAN' for it to work with the install button pop up in the source editor","https://github.com/rstudio/rstudio/issues/10016","2021-10/27","null"
"Knitted help files with evaluated examples","https://github.com/rstudio/rstudio/issues/10017","2021-10/27","2022-3/24"
"RStudio tells me I need rmarkdown installed for html_notebook, but it already is.","https://github.com/rstudio/rstudio/issues/10018","2021-10/28","2021-10/28"
"Visual editor does not respect tight spacing between items in unordered sub-list","https://github.com/rstudio/rstudio/issues/10019","2021-10/28","null"
"RStudio quits unexpectedly at startup on macOS","https://github.com/rstudio/rstudio/issues/10020","2021-10/28","null"
"Setting a project specific Python Interpreter fails to initialize or inform the user that the change will not take effect until the R session is restarted.","https://github.com/rstudio/rstudio/issues/10021","2021-10/28","null"
"Error: Temporary server error, please try again (login impossible)","https://github.com/rstudio/rstudio/issues/10022","2021-10/28","2021-10/31"
"32-bit RStudio crashes viewing any help file","https://github.com/rstudio/rstudio/issues/10023","2021-10/28","2022-5/17"
"Clicks in plot pane arrows are processed very slowly","https://github.com/rstudio/rstudio/issues/10024","2021-10/28","2021-11/29"
"locator(type = ""l"") broken just in Rstudio Server CentOS 7","https://github.com/rstudio/rstudio/issues/10025","2021-10/29","null"
"https://rstudio.org/download/latest/stable/desktop/bionic/rstudio-latest-amd64.deb returns 404","https://github.com/rstudio/rstudio/issues/10026","2021-10/29","2021-12/7"
"Keyboard short cut Ctrl+shift+F8 on linux does not insert citation and zooms the presentation tab","https://github.com/rstudio/rstudio/issues/10027","2021-10/29","2021-11/9"
"R session disconnected when restarting session","https://github.com/rstudio/rstudio/issues/10029","2021-10/30","null"
"Quarto is installed newest version, but Rstudio cannot recognize","https://github.com/rstudio/rstudio/issues/10030","2021-10/31","2021-11/19"
"Undo (ctrl+z) shortcut does not work properly in pop-up editor.","https://github.com/rstudio/rstudio/issues/10031","2021-11/1","2022-5/19"
"Open File in New Column Fails on Desktop","https://github.com/rstudio/rstudio/issues/10033","2021-11/1","2021-11/9"
"Incorrect Redo shortcut on Rstudio pulldown menu","https://github.com/rstudio/rstudio/issues/10035","2021-11/2","null"
"Decoupled and dedicated RMarkdown editor for content creation and collaboration?","https://github.com/rstudio/rstudio/issues/10036","2021-11/2","2021-11/3"
"Blank window on openSUSE Tumbleweed 20211031","https://github.com/rstudio/rstudio/issues/10037","2021-11/2","null"
"Conda path is added $PATH when loading a RStudio project","https://github.com/rstudio/rstudio/issues/10038","2021-11/2","2021-11/2"
"Update RStudio version in conda ","https://github.com/rstudio/rstudio/issues/10039","2021-11/2","2021-11/3"
"R crashes / errors when running command immediately after save","https://github.com/rstudio/rstudio/issues/10040","2021-11/2","2021-11/29"
"Keyboard Shortcuts Not Functioning WITHIN R Projects","https://github.com/rstudio/rstudio/issues/10041","2021-11/3","2022-5/22"
"R Studio abruptly closed while ggplot()","https://github.com/rstudio/rstudio/issues/10042","2021-11/3","2022-5/6"
"Cursor position of Thai language is incorrect while typing","https://github.com/rstudio/rstudio/issues/10043","2021-11/3","null"
"Python Plotly not working on R notebooks","https://github.com/rstudio/rstudio/issues/10044","2021-11/3","2022-5/19"
"debugger controls disappear after console action","https://github.com/rstudio/rstudio/issues/10045","2021-11/3","2021-12/15"
"debugger does not load package when command copied","https://github.com/rstudio/rstudio/issues/10046","2021-11/3","2022-5/23"
"check for changes to R_HISTSIZE when saving / loading history","https://github.com/rstudio/rstudio/issues/10047","2021-11/4","null"
"Add time it takes for a Chunk Code to run in R notebooks ","https://github.com/rstudio/rstudio/issues/10048","2021-11/4","null"
"Cannot view many tabs or move focus to help after zooming source","https://github.com/rstudio/rstudio/issues/10049","2021-11/5","null"
