"['title']","['url']","['createdAt']","['closedAt']"
"Very sketchy error with access to repository without TLS >1.0 enabled","https://github.com/rstudio/rstudio/issues/8649","2020-12/21","2022-1/3"
"Knitting Rmd from source mode to HTML with preview writes error to terminal","https://github.com/rstudio/rstudio/issues/8651","2020-12/21","2021-7/4"
"Add native support for Apple's ARM chips (arm64, M1) to RStudio for macOS","https://github.com/rstudio/rstudio/issues/8652","2020-12/21","2022-3/29"
"Inline latex code not showing in R Markdown Notebook when using latex_options from kableExtra package","https://github.com/rstudio/rstudio/issues/8653","2020-12/21","null"
"Option to force convert entered usernames to lower case","https://github.com/rstudio/rstudio/issues/8654","2020-12/22","null"
"Searches for hyphens in visual mode don't return matches","https://github.com/rstudio/rstudio/issues/8655","2020-12/22","2021-1/27"
"Cmd-U underlines, but Cmd-U does not un-underline.","https://github.com/rstudio/rstudio/issues/8656","2020-12/22","2021-1/26"
"Display within console of vectors of complex numbers with labels erroneously repeats 1st row's values if it can't fit in 1 line.","https://github.com/rstudio/rstudio/issues/8657","2020-12/23","2020-12/23"
"add '.renvignore' to allow list for Files pane lister","https://github.com/rstudio/rstudio/issues/8658","2020-12/23","2021-2/19"
"Ugly font used in help screens by default","https://github.com/rstudio/rstudio/issues/8659","2020-12/24","null"
"Define installation dependencies for Debian 10 Buster","https://github.com/rstudio/rstudio/issues/8660","2020-12/26","2021-7/22"
"Behavior of `run all chunks after the current` violates common expectation of ""after""","https://github.com/rstudio/rstudio/issues/8661","2020-12/27","null"
"pasting cells from mac excel results in both a table and an image","https://github.com/rstudio/rstudio/issues/8665","2020-12/29","2021-1/29"
"RStudio installation broken in openSUSE Tumbleweed v.20201227: libboost v.1.74 needed, only v.1.75 available","https://github.com/rstudio/rstudio/issues/8667","2020-12/30","2021-8/3"
"unable to git commit in v1.4-juliet-rose ","https://github.com/rstudio/rstudio/issues/8669","2020-12/30","2021-1/28"
"visual editor: markdown table style varies across document open/save cycles","https://github.com/rstudio/rstudio/issues/8671","2020-12/30","null"
"Rstudio 1.4 - Visual editor - option to close code chunks","https://github.com/rstudio/rstudio/issues/8672","2020-12/31","2021-9/13"
"Mystery write-test-... file created when creating a new doc","https://github.com/rstudio/rstudio/issues/8673","2020-12/31","null"
"e cannot find the entry point of the procedure EXTPTR_PTR in the library of dynamic  links  C\Users\Elena\Documents\R\win-library\3.6\Rcpp\libs\i386\Rcpp.dll.","https://github.com/rstudio/rstudio/issues/8674","2021-1/1","2021-1/4"
"UI mishandles data frame variables names with backtick (`) in name","https://github.com/rstudio/rstudio/issues/8675","2021-1/1","null"
"Function pop-up shows up when writing parentheses inside string","https://github.com/rstudio/rstudio/issues/8677","2021-1/4","2021-6/7"
"Repetitive autosave?","https://github.com/rstudio/rstudio/issues/8678","2021-1/5","2021-7/21"
"Side effects (loaded packages) in the current session when using R Diagnostics","https://github.com/rstudio/rstudio/issues/8679","2021-1/5","null"
"Source editor syntax highlighting in Markdown code blocks works for every language except R","https://github.com/rstudio/rstudio/issues/8680","2021-1/5","null"
"Copying from panes and pasting to Messages results in English chars turned into Chinese chars","https://github.com/rstudio/rstudio/issues/8681","2021-1/5","2021-11/29"
"When I close a project, its objects stay in the global environment","https://github.com/rstudio/rstudio/issues/8683","2021-1/5","2021-2/12"
"Tutorial Pane: Refresh Button Does Not Refresh the Pane","https://github.com/rstudio/rstudio/issues/8684","2021-1/5","null"
"Can't run rsession unit tests on macOS","https://github.com/rstudio/rstudio/issues/8685","2021-1/6","2021-1/27"
"Error: Invalid json-rpc request in Editor mode of long Rmd and md documents","https://github.com/rstudio/rstudio/issues/8687","2021-1/6","2021-7/21"
"supporting `plotmath` expressions in R","https://github.com/rstudio/rstudio/issues/8688","2021-1/6","null"
"new repo with git using ""main"" in global config results in no branches","https://github.com/rstudio/rstudio/issues/8689","2021-1/6","2021-7/21"
"Handle Missing R Package Dependencies for UI Actions","https://github.com/rstudio/rstudio/issues/8690","2021-1/6","null"
"Relax the requirement on the png library for Python","https://github.com/rstudio/rstudio/issues/8692","2021-1/6","2021-4/21"
"Clicking a python history item exits python","https://github.com/rstudio/rstudio/issues/8693","2021-1/6","2021-3/26"
"Stop Tutorial Loading when Package installation fails","https://github.com/rstudio/rstudio/issues/8694","2021-1/7","null"
"Don't Enter Tutorial if User Cancels Package Installation","https://github.com/rstudio/rstudio/issues/8695","2021-1/7","null"
"Console output folds across rows making output illegible","https://github.com/rstudio/rstudio/issues/8696","2021-1/7","2021-8/13"
"Missing symbol is indicated as syntax error but R interprets the statement correctly","https://github.com/rstudio/rstudio/issues/8697","2021-1/7","2022-1/18"
"RStudio loads xfun and yaml packages for no reason","https://github.com/rstudio/rstudio/issues/8698","2021-1/7","2021-2/25"
"Feature Request: Close All but keep unsaved open","https://github.com/rstudio/rstudio/issues/8699","2021-1/7","2021-7/21"
"Interactive addin should call in R console pkg::fun() if the binding function is exported (and not pkg:::fun())","https://github.com/rstudio/rstudio/issues/8700","2021-1/8","null"
".Rprofile (and .Renviron) should have a header banner with a prompt to restart R if modified","https://github.com/rstudio/rstudio/issues/8701","2021-1/8","null"
