['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
230,2011-11/24,2011-11/24,230,False,,3,2011-11/24,Translation to portuguese.
3,2012-1/25,2012-1/25,3,True,2012-1/25,2,2012-1/25,Use NOT_AN_ELEMENT instead Integer.MIN_VALUE
371,2012-2/11,2012-2/11,0,True,2012-2/11,2,2012-2/11,Turkish locale file
57,2012-2/12,2012-2/12,57,True,2012-2/12,2,2012-2/12,A more clear Turkish locale file
2,2012-3/6,2012-3/6,2,True,2012-3/6,2,2012-3/6,Update Wheelchair Accessibility to Match GTFS Proposal
368,2012-3/20,2012-3/20,0,True,2012-3/20,3,2012-3/20,Checkin of complete Dutch language file
11,2012-3/21,2012-3/21,10,True,2012-3/21,3,2012-3/21,Add ferry icons for map and ui
11,2012-3/21,2012-3/21,10,False,,2,2012-3/21,Fix typo's in Dutch language file
100,2012-3/30,2012-3/30,102,True,2012-3/30,2,2012-3/30,Polish locale file
29,2012-3/30,2012-3/30,5,False,,3,2012-3/30,Fix date and time spinner localizations
27,2012-4/5,2012-4/5,0,False,,2,2012-4/5,API response messages in Dutch.
1,2012-4/14,2012-4/14,0,True,2012-4/14,3,2012-4/14,"Add ""open area"" as creative name for areas"
3,2012-4/24,2012-4/24,12,False,,2,2012-4/24,Change time parser/correction to output 24hour timeformat
5,2012-4/26,2012-4/26,4,False,,3,2012-4/26,Dutch translation for bike rental
4,2012-5/3,2012-5/3,2,False,,2,2012-5/3,Work around issue #706
42,2012-5/6,2012-5/6,39,True,2012-5/6,3,2012-5/6,Changes to the Analyst Client
0,2012-5/9,2012-5/9,2,False,,2,2012-5/9,Analyst: clean code avoid unessary set initlocation
24,2012-5/10,2012-5/10,12,True,2012-5/10,2,2012-5/10,minor bug fixes
14,2012-5/12,2012-5/12,0,True,2012-5/12,2,2012-5/12,Dutch: webapp: locale: sync bikeshare optional locale changes
373,2012-5/17,2012-5/17,0,True,2012-5/17,2,2012-5/17,Hebrew translation by Yaron Shahrabani
26,2012-5/18,2012-5/18,16,True,2012-5/18,2,2012-5/18,Allow Reverse and Edit toolbar buttons to be hidden
33,2012-5/20,2012-5/20,33,True,2012-5/20,2,2012-5/20,Hebrew update
1,2012-5/21,2012-5/21,1,True,2012-5/21,2,2012-5/21,Update opentripplanner-webapp/src/main/webapp/js/otp/locale/Hebrew.js
3,2012-5/23,2012-5/23,3,True,2012-5/23,2,2012-5/23,Update opentripplanner-webapp/src/main/webapp/js/otp/locale/Hebrew.js
133,2012-5/25,2012-5/25,8,True,2012-5/25,3,2012-5/25,RTL support
16,2012-5/27,2012-5/27,5,True,2012-5/27,2,2012-5/27,Geocoder RTL and encoding fixes
4,2012-7/15,2012-7/15,4,True,2012-7/15,2,2012-7/15,Translated the new hour strings as added in the last commit.
8,2012-7/24,2012-7/24,0,True,2012-7/24,2,2012-7/24,Add routeId attribute in Leg
181,2012-7/27,2012-7/27,181,True,2012-7/27,2,2012-7/27,Update opentripplanner-webapp/src/main/webapp/js/otp/locale/Portuguese.j...
48,2012-9/12,2012-9/12,48,True,2012-9/12,2,2012-9/12,Update opentripplanner-webapp/src/main/webapp/js/otp/locale/Portuguese.j...
11,2012-10/6,2012-10/6,8,False,,2,2012-10/6,Fix for #849
42,2012-10/7,2012-10/7,2,True,2012-10/7,4,2012-10/7,OVfiets KML updater + setting default spaces_available to MAX
7,2012-11/6,2012-11/6,2,True,2012-11/6,2,2012-11/6,fix #894 (NPEs in NED builder)
1,2012-11/11,2012-11/11,1,True,2012-11/11,2,2012-11/11,this is a very small fix to 902
1,2012-11/14,2012-11/14,4,True,2012-11/14,2,2012-11/14,Removing out of date configs from sample file
8,2012-11/21,2012-11/21,2,True,2012-11/21,3,2012-11/21,Write timing information to stdout in GraphBuilderMain
14984,2012-11/26,2012-11/26,301,True,2012-11/26,3,2012-11/26,Draft Thrift API Implementation
346,2012-12/30,2012-11/30,125,True,2012-12/30,3,2012-11/30,Add globally unique IDs to edges.
1,2012-12/1,2012-12/1,0,True,2012-12/1,2,2012-12/1,Add 700 route_type
599,2012-12/1,2012-12/1,282,True,2012-12/1,3,2012-12/1,Add a FindNearestEdges method to the Thrift API
2534,2012-12/2,2012-12/2,20,True,2012-12/2,3,2012-12/2,Oops. Stuff I left in the my client from the last pull request
733,2012-12/4,2012-12/4,117,True,2012-12/4,4,2012-12/4,Prelude to breaking ties in getClosestEdges() by direction of travel
182,2012-12/5,2012-12/5,91,True,2012-12/5,3,2012-12/5,Refactor CandidateEdge
372,2012-12/5,2012-12/5,332,True,2012-12/5,3,2012-12/5,Make CandidateEdge use heading information in scoring when available.
302,2012-12/7,2012-12/7,290,False,,2,2012-12/7,small changes in the pruneFloatingIslands method 
34,2012-12/10,2012-12/10,20,True,2012-12/10,2,2012-12/10,Another try to pull fix to #934
15,2012-12/13,2012-12/13,1,True,2012-12/13,2,2012-12/13,Change in ws/transit/RouteData API
178,2012-12/17,2012-12/17,22,True,2012-12/17,6,2012-12/17,Allow clients of SPTService to pass in a SearchTerminationStrategy
773,2012-12/25,2012-12/25,0,True,2012-12/25,2,2012-12/25,"New isochrone class for OTP Analyst to calculate access sheds, such as walksheds."
242,2013-1/1,2013-1/1,38,True,2013-1/1,3,2013-1/1,some improvement for the PruneFloatingIslands model
621,2013-1/1,2013-1/1,195,True,2013-1/1,3,2013-1/1,Lots of little changes accumulated from time spent poring over routing code.
9,2013-1/7,2013-1/7,13,True,2013-1/7,2,2013-1/7,fix #947
42,2013-1/10,2013-1/10,4,True,2013-1/10,2,2013-1/10,Add support for the HGV route_types extensions.
321,2013-1/13,2013-1/13,17,False,,2,2013-1/13,bug fix regarding #947 
320,2013-1/13,2013-1/13,17,False,,2,2013-1/13,Find stop by answers certain criteria at build graph
320,2013-1/13,2013-1/13,17,True,2013-1/13,3,2013-1/13,Find stop by answers certain criteria at build graph
1,2013-1/13,2013-1/13,0,True,2013-1/13,2,2013-1/13,"bug fix in #947, removed unused StreetTransitLink "
1,2013-1/25,2013-1/25,1,True,2013-1/25,2,2013-1/25,"Fix maven build, since tomcat 6.0.35 is apparently not available for download"
50,2013-1/25,2013-1/25,3,True,2013-1/25,2,2013-1/25,"Add bannedAgencies parameter. Same as bannedRoutes, but will disable entire agency."
507,2013-2/8,2013-2/8,232,True,2013-2/8,4,2013-2/8,"Stop using strings to store from, to and intermediate locations in RoutingRequest."
105,2013-2/9,2013-2/9,162,True,2013-2/9,3,2013-2/9,Remove unused methods from StreetVertexService
34,2013-2/11,2013-2/11,5,True,2013-2/11,3,2013-2/11,Fix the build
12,2013-2/19,2013-2/19,5,True,2013-2/19,2,2013-2/19,same bug fixed 
937,2013-2/20,2013-2/20,861,True,2013-2/20,3,2013-2/20,add a TraverseMode for motor vehicles that aren't exactly cars
63,2013-2/26,2013-2/26,12,True,2013-2/26,3,2013-2/26,Add CUSTOM_MOTOR_VEHICLE to StreetTraversalPermission. Add tests.
3,2013-3/28,2013-2/28,1,True,2013-3/28,2,2013-2/28,For Issue #983 - small modification to BasicPopulation for Batch Analyst
429,2013-3/1,2013-3/1,59,False,,2,2013-3/1,Extensions to ws/transit/ API
340,2013-3/1,2013-3/1,365,True,2013-3/1,3,2013-3/1,Update DefaultWayPropertySetSource to treat CAR and CUSTOM_MOTOR_VEHICLE identically 
160,2013-3/1,2013-3/1,4,True,2013-3/1,4,2013-3/1,IntersectionVertex should not be free-flowing by default
57,2013-3/2,2013-3/2,8,True,2013-3/2,4,2013-3/2,For Matt: Clean up inference of free-flowing intersections.
429,2013-3/3,2013-3/3,59,True,2013-3/3,2,2013-3/3, Changes in /ws/transit
