"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"https://github.com/opentripplanner/OpenTripPlanner/issues/3774 stopti…","2021-12/10","2021-12/10","2021-12/10",False,"null",1,957,958
"Fix NPE in stoptimesForServiceDate query","2021-12/10","2022-1/10","2021-12/10",True,"2022-1/10",4,14,0
"Store all alerts and add support for route_type and direction_id selectors","2021-12/13","2022-1/13","2021-12/13",True,"2022-1/13",5,1634,222
"Using translations for stop's name and url","2021-12/13","2022-2/13","2021-12/13",False,"null",4,823,166
"Fix checking allowed boarding/alighting for unscheduled flex trips","2021-12/13","2021-12/13","2021-12/13",True,"2021-12/13",3,38,7
"Run automatic performance tests","2021-12/14","2022-1/14","2021-12/14",True,"2022-1/14",3,747,26
"Remove hardcoded alighting/boarding on first/last stop","2021-12/14","2021-12/14","2021-12/14",True,"2021-12/14",3,0,10
"Update logback dependency to 1.2.8 (1.2.5) [changelog skip]","2021-12/14","2021-12/14","2021-12/14",True,"2021-12/14",3,1,1
"Upgrade logback to disable JNDI lookup in logback.xml","2021-12/14","2021-12/14","2021-12/14",False,"null",1,1,1
"refactor: Rename SpeedTest config parameter to maxWalkDurationSeconds [changelog skip]","2021-12/14","2021-12/14","2021-12/14",True,"2021-12/14",3,13,17
"Add tags and openingHours to CarPark and BikePark in legacy api [changelog skip]","2021-12/16","2021-12/16","2021-12/16",True,"2021-12/16",3,127,0
"Remove build parameter 'useTransfersTxt'","2021-12/16","2021-12/16","2021-12/16",True,"2021-12/16",3,5,42
"Not allowed transfers and support for GTFS transfer points","2021-12/17","2022-1/17","2021-12/17",True,"2022-1/17",3,3489,1523
"Add reading and exposing of Netex submodes","2021-12/17","2022-1/17","2021-12/17",True,"2022-1/17",5,829,603
"Implement minimum transfer time from transfers.txt","2021-12/20","2022-1/20","2021-12/20",False,"null",4,408,361
"Add support for sandboxed realtime vehicle parking updaters","2021-12/30","2022-1/30","2021-12/30",True,"2022-1/30",7,3286,461
"Add VehicleParking layer option to vector tiles sandbox [changelog skip]","2022-1/3","2022-1/3","2022-1/3",True,"2022-1/3",4,310,3
"Fix: Account for wait-time in no-wait Raptor strategy ","2022-1/3","2022-1/3","2022-1/3",True,"2022-1/3",3,1859,1993
"Read in flex window from Netex feeds","2022-1/5","2022-1/5","2022-1/5",True,"2022-1/5",3,30,10
"Don't run performance tests on pull requests [changelog skip]","2022-1/6","2022-1/6","2022-1/6",False,"null",2,0,3
"Narrow down type on non-null types in Transmodel API [changelog skip]","2022-1/6","2022-1/6","2022-1/6",True,"2022-1/6",3,6,5
"Fix NPE when routing on a graph without transit data.","2022-1/7","2022-1/7","2022-1/7",True,"2022-1/7",4,1,1
"Reduce memory usage by deduplicate StopTimes in NeTEx import. [changelog skip]","2022-1/7","2022-1/7","2022-1/7",True,"2022-1/7",3,4,1
"Add openingHours and feeHours to vehicle parkings, and use time restricted routing based on openingHours","2022-1/10","null","2022-1/10",False,"null",4,1120,37
"Fix issue with fetching parent StopPlaces in nearest query in Transmodel API [changelog skip]","2022-1/10","2022-1/10","2022-1/10",True,"2022-1/10",3,65,28
"Read translations from GTFS and Netex sources for stop names","2022-1/10","2022-3/10","2022-1/10",True,"2022-3/10",4,854,190
"Separate timers for speed test logging and uploading to CI [changelog skip]","2022-1/10","2022-1/10","2022-1/10",True,"2022-1/10",3,93,55
"Fix invalid cast in situations resolver for line in Transmodel API [changelog skip]","2022-1/11","2022-1/11","2022-1/11",True,"2022-1/11",3,4,4
"Capture code coverage with jacoco and codecov.io","2022-1/11","2022-1/11","2022-1/11",True,"2022-1/11",4,25,3
"Orca fare service fixes, Link+Sounder fare calculation","2022-1/12","2022-1/12","2022-1/12",False,"null",6,41534,10951
"Minor fixes [changelog skip]","2022-1/12","2022-1/12","2022-1/12",True,"2022-1/12",3,20,7
"Transfer requests finetuning [changelog skip]","2022-1/14","2022-1/14","2022-1/14",True,"2022-1/14",5,15,2
"Include all trips in `stopTimesForStop`","2022-1/17","2022-1/17","2022-1/17",True,"2022-1/17",3,27,46
"Read leg mode from trip, instead of route","2022-1/17","2022-1/17","2022-1/17",True,"2022-1/17",3,1,1
"Store stop indices in leg and use them to simplify logic in TripTimeShortHelper","2022-1/17","2022-1/17","2022-1/17",True,"2022-1/17",3,12,65
"Use API mapping in snapshot tests","2022-1/20","2022-1/20","2022-1/20",True,"2022-1/20",3,5859,18229
"Dynamically compute additional search days","2022-1/20","2022-2/20","2022-1/20",True,"2022-2/20",3,272,45
"Mapping for NeTEx branding","2022-1/21","2022-1/21","2022-1/21",False,"null",2,638,64
"Rework leg creation","2022-1/24","2022-2/24","2022-1/24",True,"2022-2/24",3,351,424
"Encapsulate fields in the `Leg` and remove stop indices from `Place` [changelog skip]","2022-1/25","2022-1/25","2022-1/25",True,"2022-1/25",3,933,683
"Adjust search window dynamically to fit the number of itineraries","2022-1/25","2022-2/25","2022-1/25",True,"2022-2/25",4,13078,1397
"OTP support for NeTEx branding","2022-1/25","2022-1/25","2022-1/25",True,"2022-1/25",3,403,64
"Implement minimum transfer time from GTFS transfers.txt","2022-1/26","2022-2/26","2022-1/26",True,"2022-2/26",4,369,116
"Implement in-seat transfers per GTFS draft","2022-1/26","2022-2/26","2022-1/26",True,"2022-2/26",3,31,1
"Add stairsTimeFactor to StreetEdge","2022-1/26","2022-2/26","2022-1/26",True,"2022-2/26",5,42,75
"Make sure we keep the itinerary with the least number of transfers when grouping the itineraries","2022-1/27","2022-2/27","2022-1/27",True,"2022-2/27",3,83,0
"Remove last board cost in heuristic cost calculation","2022-1/27","2022-1/27","2022-1/27",False,"null",2,1147,1081
"fix: Log more for Unexpected leg type before TransferLeg [changelog skip]","2022-1/27","2022-1/27","2022-1/27",True,"2022-1/27",3,1,1
"Narrow down non-null types to improve schema and docs","2022-1/27","2022-2/27","2022-1/27",True,"2022-2/27",4,33,33
"Update link to code style in PR template [changelog skip]","2022-1/27","2022-1/27","2022-1/27",True,"2022-1/27",4,6,6
"Return correct heuristic values, when constrained transfers is turned on","2022-1/31","2022-2/31","2022-1/31",True,"2022-2/31",3,1284,1052
"Submode filter for service journeys","2022-1/31","2022-1/31","2022-1/31",False,"null",2,66,7
"Mode & submode filter for NeTEx Service Journeys","2022-1/31","2022-2/31","2022-1/31",True,"2022-2/31",4,37,15
"fix: Avoid mixed path separators on Windows in Park API test","2022-1/31","2022-1/31","2022-1/31",True,"2022-1/31",5,1,4
"Minor Transmodel GraphQL API improvements [changelog skip]","2022-1/31","2022-2/31","2022-1/31",True,"2022-2/31",3,55,11
"Mapping and linking DatedServiceJourneys to TripTimes","2022-2/1","2022-2/1","2022-2/1",False,"null",5,136,53
"Filter out elevator ways that are also implicit areas","2022-2/1","2022-2/1","2022-2/1",True,"2022-2/1",3,13,2
"ci: Add Windows to GitHub Action builds","2022-2/1","2022-2/1","2022-2/1",True,"2022-2/1",3,6,3
"Fix vehicle parking updater for ParkAPI [changelog skip]","2022-2/2","2022-2/2","2022-2/2",True,"2022-2/2",3,2,1
