"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Add periodic refresh to multi-graph auto-discovery mode.","2013-5/17","2013-6/17","2013-5/17",False,"null",2,76378,1887
"Check if there are actually steps, prevent javascript error.","2013-5/22","2013-6/22","2013-5/22",True,"2013-6/22",3,3,3
"Adding documentation to the stops alerts component","2013-5/23","2013-6/23","2013-5/23",True,"2013-6/23",2,88,37
"replace 'equalsIgnoreCase(""POLYGON""))' with 'instanceof Polygon'","2013-5/23","2013-6/23","2013-5/23",False,"null",2,2,1
"Added small unit test to test banned trips","2013-5/30","2013-5/30","2013-5/30",True,"2013-5/30",2,19,0
"Worst trip is not used in the RetryingPathServiceImpl","2013-6/3","2014-9/3","2013-6/3",False,"null",2,36,36
" Allow easier usage of OTP-standalone","2013-6/4","2013-6/4","2013-6/4",True,"2013-6/4",2,1,1
"Ban stops","2013-6/4","2013-6/4","2013-6/4",True,"2013-6/4",2,434,12
"bug fix in GenericLocation.","2013-6/5","2013-6/5","2013-6/5",True,"2013-6/5",4,12,6
"bug fix in the Route Matcher, the bug cause the routingContext to store ...","2013-6/5","2013-7/5","2013-6/5",False,"null",2,1,1
"Fix reverse traversal turn cost bug","2013-6/9","2013-6/9","2013-6/9",True,"2013-6/9",2,71,10
"Refactor code in PlainStreetEdge.java and Timetable.java","2013-6/9","2013-6/9","2013-6/9",True,"2013-6/9",2,80,23
"Fix the computation of the end time of the last leg","2013-6/14","2013-10/14","2013-6/14",False,"null",1,29,15
"Story #6738 - User sees realtime delays in UI","2013-6/18","2013-6/18","2013-6/18",True,"2013-6/18",5,100,66
"Make the leaflet client the default front-end for the otp-standalone","2013-6/18","2013-6/18","2013-6/18",True,"2013-6/18",2,0,0
"On-board depart (server development).","2013-6/18","2013-7/18","2013-6/18",False,"null",2,77230,1911
"Expose walk reluctance parameter to API","2013-6/19","2013-7/19","2013-6/19",True,"2013-7/19",2,33,10
"Transfer specificity","2013-6/24","2013-7/24","2013-6/24",True,"2013-7/24",2,1091,176
"opentripplanner-leaflet-client/src/main/webapp/index.html","2013-6/25","2013-7/25","2013-6/25",True,"2013-7/25",2,0,1
"leaflet-client: Add metic support","2013-6/25","2013-7/25","2013-6/25",True,"2013-7/25",3,142,17
"leaflet-client: Added some debug tools","2013-6/25","2013-7/25","2013-6/25",False,"null",3,50,2
"Cancelled trips excluded from the results","2013-6/26","2014-9/26","2013-6/26",False,"null",3,195,27
"Set out correct departure delay for leg","2013-6/30","2013-7/30","2013-6/30",True,"2013-7/30",2,10,14
"Leaflet: set encoding","2013-6/30","2013-7/30","2013-6/30",True,"2013-7/30",2,1,1
"Specify what the documentation of arrivalDelay, departureDelay","2013-7/2","2013-7/2","2013-7/2",True,"2013-7/2",2,4,2
"Transfer penalty","2013-7/2","2013-7/2","2013-7/2",False,"null",3,236,56
"Transfer penalty","2013-7/2","2013-7/2","2013-7/2",True,"2013-7/2",2,94,39
"Test trip to trip transfers","2013-7/4","2013-7/4","2013-7/4",True,"2013-7/4",2,168,14
"Real-time: fix NPE when using frequency-based trip.","2013-7/4","2013-7/4","2013-7/4",True,"2013-7/4",2,1,1
"Merge trip index for real-time and on-board depart. #1118","2013-7/5","2013-7/5","2013-7/5",True,"2013-7/5",2,92,77
"Transfer trip to trip dynamic","2013-7/8","2013-7/8","2013-7/8",True,"2013-7/8",2,159,71
"Add flag to itinerary in trip planning result: walkLimitExceeded","2013-7/9","2013-7/9","2013-7/9",True,"2013-7/9",2,52,1
"Add platformcode to API output","2013-7/11","2013-7/11","2013-7/11",True,"2013-7/11",3,14,2
"Transfer stop to stop","2013-7/16","2013-7/16","2013-7/16",True,"2013-7/16",2,819,79
"Add recovery from fatal errors to standalone OTP","2013-7/17","2013-7/17","2013-7/17",True,"2013-7/17",3,10,1
"Graph service: remove decorator pattern.","2013-7/18","2013-7/18","2013-7/18",True,"2013-7/18",2,6,16
"Table trip pattern fix","2013-7/18","2013-7/18","2013-7/18",True,"2013-7/18",2,3,3
"Added API method in the Router API to save graph to disk","2013-7/19","2013-8/19","2013-7/19",False,"null",3,132,10
"Trip selection web-service for on-board depart.","2013-7/22","2013-7/22","2013-7/22",True,"2013-7/22",2,328,24
