"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"Maybe more standard editorconfig","2018-12","2018-12","2018-12",False,"null"
"Configure long line length ","2018-12","2019-2","2018-12",True,"2019-2"
"Fix search CRLF files with non-regex multiline search","2018-12","2018-12","2018-12",True,"2018-12"
"Fix #65084","2018-12","2018-12","2018-12",True,"2018-12"
"support editorHoverWidget.foreground","2018-12","2019-10","2018-12",False,"null"
"Pull request to fix issue #59045","2018-12","2018-12","2018-12",False,"null"
"Git: Support sync cancellation #59047 Issue Fix","2018-12","2019-8","2018-12",True,"2019-8"
"macOS Vibrancy Support","2018-12","2019-7","2018-12",False,"null"
"Fixed #59961","2018-12","2019-10","2018-12",True,"2019-10"
"Simplify start debug command handler","2018-12","2018-12","2018-12",True,"2018-12"
"Enable strict null checking for snippetVariables test","2018-12","2018-12","2018-12",True,"2018-12"
"Git sync now publishes branch upon confirmation (#64183 issue fix)","2018-12","2019-8","2018-12",True,"2019-8"
"Enable strict null checking for files test","2018-12","2018-12","2018-12",True,"2018-12"
"Fixes #44237: Add column number in tasks","2018-12","null","2018-12",False,"null"
"Add .vscode to .gitignore","2018-12","2018-12","2018-12",False,"null"
"Enable strict null checking for Notifications test","2018-12","2018-12","2018-12",True,"2018-12"
"Enable strict null checking for quickOpenScorer test","2018-12","2018-12","2018-12",True,"2018-12"
"Enable strict null checking for Comparers test","2018-12","2018-12","2018-12",True,"2018-12"
"Enable strict null checking for GridView test","2018-12","2018-12","2018-12",True,"2018-12"
"Enable strict null checking for SplitView test","2018-12","2018-12","2018-12",True,"2018-12"
"Enable strict null checking for AsyncDataTree test","2018-12","2018-12","2018-12",False,"null"
"Fix #62350","2018-12","2018-12","2018-12",False,"null"
"Maximize panel causes left panel to shrink ","2018-12","2018-12","2018-12",False,"null"
"Bump version","2018-12","2018-12","2018-12",True,"2018-12"
"Add quick open picker background+foreground theming","2018-12","2019-6","2018-12",False,"null"
"Fix #62350","2018-12","2018-12","2018-12",False,"null"
"Fix run active file in terminal on paths with spaces under Windows","2018-12","2018-12","2018-12",True,"2018-12"
"Update package.json","2018-12","2019-1","2018-12",False,"null"
"added keybindings resize terminal panel","2018-12","2018-12","2018-12",False,"null"
"Enable strict null checking for Arrays tests","2018-12","2018-12","2018-12",True,"2018-12"
"HTTPS link to EditorConfig.org","2018-12","2018-12","2018-12",True,"2018-12"
"address #65115 on recovery","2018-12","2018-12","2018-12",True,"2018-12"
