"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"fix for #22325: Support title from xterm.js","2017-3","2017-4","2017-3",False,"null"
"Fix terminal color key lookup.","2017-3","2017-3","2017-3",True,"2017-3"
"Add ripgrep support","2017-3","2017-3","2017-3",True,"2017-3"
"Case preserving but case insensitive file handling","2017-3","2017-3","2017-3",True,"2017-3"
"Proposal fix 22401: Search in settings editor is showing invalid results for search term","2017-3","2017-3","2017-3",False,"null"
"Implement Windows terminal shell selector","2017-3","2017-3","2017-3",True,"2017-3"
"Polish terminal link hover hint","2017-3","2017-3","2017-3",True,"2017-3"
"Merge pull request #1 from Microsoft/master","2017-3","2017-3","2017-3",False,"null"
"Merge pull request #1 from Microsoft/master","2017-3","2017-3","2017-3",False,"null"
"Merge pull request #1 from Microsoft/master","2017-3","2017-3","2017-3",False,"null"
"Merge pull request #2 from Microsoft/master","2017-3","2017-3","2017-3",False,"null"
"Correct disposal implementation for exception widget","2017-3","2017-3","2017-3",False,"null"
"Second prototype of markdown extensions API","2017-3","2017-3","2017-3",True,"2017-3"
"Add cursorHardHome","2017-3","2017-5","2017-3",False,"null"
"Fixes #18990, #21693 - Shutdown terminal pty process more gracefully","2017-3","2017-3","2017-3",True,"2017-3"
"Feature/part resize: Add key bindings to resize focused view","2017-3","2017-3","2017-3",True,"2017-3"
"Send telemetry only to vortex","2017-3","2017-3","2017-3",True,"2017-3"
"fuzzyScore","2017-3","2017-3","2017-3",True,"2017-3"
"Uri.file fix","2017-3","2017-3","2017-3",True,"2017-3"
"Switch to using new keyboard mappers","2017-3","2017-3","2017-3",True,"2017-3"
"Correctly duplicate files with numbers in filename","2017-3","2017-3","2017-3",True,"2017-3"
"Add TSServer Log Collection Commands","2017-3","2017-3","2017-3",True,"2017-3"
"Initial Prototype of Find in HtmlPreviewPart","2017-3","2017-7","2017-3",False,"null"
"Fixed typo","2017-3","2017-3","2017-3",True,"2017-3"
"Surfacing new Exception DAP in UI","2017-3","2017-3","2017-3",True,"2017-3"
"backups: stop lowercasing file paths (fixes #16591)","2017-3","2017-3","2017-3",True,"2017-3"
"Make more descriptive appdata summary field","2017-3","2017-3","2017-3",True,"2017-3"
"Fixed typo - fourth instead if forth","2017-3","2017-3","2017-3",True,"2017-3"
"Add letterSpacing to config to address #18715","2017-3","2017-5","2017-3",True,"2017-5"
"emment fix issue #22923","2017-3","2017-3","2017-3",False,"null"
"Enable contributable Application menu","2017-3","2018-7","2017-3",False,"null"
"Feature #22768","2017-3","2017-3","2017-3",True,"2017-3"
"Remove TSC Mismatch Warning","2017-3","2017-8","2017-3",False,"null"
"Update Go grammar to atom/language-go@11ad31e7 (2016-12-30)","2017-3","2017-3","2017-3",True,"2017-3"
"Original extension command names next to the translated ones","2017-3","2017-3","2017-3",True,"2017-3"
"Expose diff editors in the API","2017-3","2017-3","2017-3",False,"null"
"Improve coloring of js template strings ","2017-3","2017-3","2017-3",True,"2017-3"
"Mitigate #22900. Use setInterval instead of animation for flat blinking on mac/linux","2017-3","2017-3","2017-3",True,"2017-3"
"Pick up updated coffeescript grammar ","2017-3","2017-3","2017-3",True,"2017-3"
"Update doc topic links in comments","2017-3","2017-3","2017-3",True,"2017-3"
