['closedAt'],['createdAt'],['merged'],['mergedAt'],['publishedAt'],['title']
2015-12,2015-11,False,,2015-11,Add setting in product.json for customDataDirectory
2015-12,2015-11,True,2015-12,2015-11,Fixed mime-type detection because of different capitalization
2015-12,2015-12,True,2015-12,2015-12,Adopt latest Electron build (#826)
2015-12,2015-12,True,2015-12,2015-12,[xml] Add Windows Workflow (.xoml) extension.
2015-12,2015-12,True,2015-12,2015-12,Persist zoom settings
2015-12,2015-12,True,2015-12,2015-12,Joh/commands
2015-12,2015-12,False,,2015-12,Party!
2015-12,2015-12,True,2015-12,2015-12,[vb] Syntax Highlighting for Roku's BrightScript Language
2015-12,2015-12,True,2015-12,2015-12,Isidorn/breakpoints verified
2015-12,2015-12,True,2015-12,2015-12,Implementation of issue #950
2015-12,2015-12,True,2015-12,2015-12,[python] Add .gn as a python file extension
2015-12,2015-12,True,2015-12,2015-12,Fix spelling/punctuation in descriptions of User Settings --> JS Vali…
2015-12,2015-12,False,,2015-12,Fix a bug in indenting multiline comments with tabs (issue #348)
2015-12,2015-12,True,2015-12,2015-12,[ruby] Add Gemfile to supported filenames
2015-12,2015-12,True,2015-12,2015-12,Try to render keybindings with their physical labels
2015-12,2015-12,True,2015-12,2015-12,changes to tackle #703
2015-12,2015-12,False,,2015-12,[ISSUE #226] Fix debug console word wrapping
2015-12,2015-12,True,2015-12,2015-12,issue #527 with optional cursor scroll
2015-12,2015-12,True,2015-12,2015-12,Allow to match on paths in quick open (fixes #1065)
2016-1,2015-12,True,2016-1,2015-12,Allow building binary on Linux ARM.
2015-12,2015-12,False,,2015-12,[css] Add syntax highlighting for additional CSS units
2015-12,2015-12,True,2015-12,2015-12,Suggest cleanup
2016-5,2015-12,False,,2015-12,Add Subword Navigation
2015-12,2015-12,True,2015-12,2015-12,[ruby] Added .rake extension to use ruby syntax
2015-12,2015-12,False,,2015-12,Add an option to hide/show menu bar.
2015-12,2015-12,True,2015-12,2015-12,[xml] Associate .atom with XML
2015-12,2015-12,True,2015-12,2015-12,add addApiCommand call which can be found by a doc tool
2015-12,2015-12,True,2015-12,2015-12,Alternative fuzzy searching
2015-12,2015-12,False,,2015-12,Universal installation script and .desktop files added
2015-12,2015-12,True,2015-12,2015-12,Isidorn/extensions statusbar
2015-12,2015-12,True,2015-12,2015-12,Joh/commands as api
2015-12,2015-12,True,2015-12,2015-12,Joh/diag source
2016-1,2015-12,False,,2015-12,Enrich completion item provider
2016-2,2015-12,False,,2015-12,[editorconfig] Use tab_width instead of indent_size
2015-12,2015-12,True,2015-12,2015-12,Move overwriteBefore/overwriteAfter to ISuggestion
2016-1,2015-12,False,,2015-12,Implement AddSelectionToAllFindMatchAction command class
2016-1,2015-12,True,2016-1,2015-12,[css] Update css intellisense and css.plist
2015-12,2015-12,True,2015-12,2015-12,[css] Fix linear-gradient() snippet syntax
2016-4,2015-12,False,,2015-12,Add invokeSnippetForCurrentWord command.
2015-12,2015-12,True,2015-12,2015-12,Fix: Upgrading Extensions Blows Up
2015-12,2015-12,True,2015-12,2015-12,document.isDirty appears to report false for dirty untitled document (fixes #723)
2015-12,2015-12,False,,2015-12,Add a keyboard shortcut to focus on the working files view on the sidebar
2015-12,2015-12,True,2015-12,2015-12,"Amend the hint ""jsconfig.json-file"" to ""jsconfig.json file"""
2015-12,2015-12,True,2015-12,2015-12,Changed code.visualstudio.com hyperlink to HTTPS
2016-1,2015-12,True,2016-1,2015-12,"[c++] keyword ""noexcept"" added"
2015-12,2015-12,True,2015-12,2015-12,use version 0.1.2 of native-keymap
2016-1,2015-12,True,2016-1,2015-12,Implementation of editor.action.insertCursorAtEndOfEachSelectedLine
2016-1,2015-12,False,,2015-12,Render ligatures
2016-1,2015-12,True,2016-1,2015-12,[html] typos of angularjs attributes(directives)
2015-12,2015-12,True,2015-12,2015-12,Support menu bar visibility toggle also on Linux (fixes #1563)
2016-1,2015-12,True,2016-1,2015-12,[python] Disassociate .gn with python language
2016-1,2015-12,False,,2015-12,Implement configurable cursor style
2015-12,2015-12,True,2015-12,2015-12,Improve auto save
2015-12,2015-12,False,,2015-12,Avoid computing end condition on each iteration
2015-12,2015-12,False,,2015-12,Fix debugging debugAdapters when offline
2016-1,2015-12,False,,2015-12,branch: toggleWordWrap_1a
2016-1,2015-12,True,2016-1,2015-12,Toggle word wrap 1b
2016-1,2015-12,False,,2015-12,"Changing some for loops from ""for (let i= ... i++)"" to ""for (let el o…"
2015-12,2015-12,True,2015-12,2015-12,Isidorn/conditional breakpoints
2016-1,2015-12,True,2016-1,2015-12,[bat] Fix batch syntax
2016-1,2015-12,False,,2015-12,Search: Investigate into native commands for recursive file listing
2016-1,2016-1,True,2016-1,2016-1,replace case with proper type declaration
2016-1,2016-1,False,,2016-1,Prevent to show install message for installed extensions (fixes #1411)
2016-1,2016-1,True,2016-1,2016-1,Added development instructions to tests README
2016-1,2016-1,True,2016-1,2016-1,Update to Electron 0.35.5
2016-1,2016-1,True,2016-1,2016-1,register text document provider
2016-1,2016-1,False,,2016-1,Add animation-fill-mode property
2016-1,2016-1,False,,2016-1,Replaced all old style imports to ES6
2016-1,2016-1,True,2016-1,2016-1,add viewlets to View menu
2016-1,2016-1,True,2016-1,2016-1,quick pick enhancements
2016-1,2016-1,True,2016-1,2016-1,Allow details in quick pick
2016-1,2016-1,False,,2016-1,added theme-wildlife
2016-1,2016-1,True,2016-1,2016-1,support to validate user input
2016-1,2016-1,True,2016-1,2016-1,Integrate tslint
2016-1,2016-1,True,2016-1,2016-1,Implement a horizontal panel for the workbench
2016-1,2016-1,True,2016-1,2016-1,Sort extensions by install count rather than alphabetically. 
