"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"Fix more Compiler Errors for TS 2.4 in the VSCode codebase","2017-6","2017-6","2017-6",True,"2017-6"
"Continue refactoring html content renderer","2017-6","2017-6","2017-6",True,"2017-6"
"Allow links in hover decorations to be inside a <code> tag","2017-6","2017-8","2017-6",True,"2017-8"
"AccessibilityProvider getPosInSet and getSetSize","2017-6","2017-6","2017-6",True,"2017-6"
"update php grammar","2017-6","2017-6","2017-6",True,"2017-6"
"Add npm-shrinkwrap and package-lock files from npm 5.0.3 (node 8.1.2)","2017-6","2017-7","2017-6",False,"null"
"Add git stashing","2017-6","2017-8","2017-6",True,"2017-8"
"[WIP] Inline all decorations - attempt 3","2017-6","2018-1","2017-6",False,"null"
"Fix escape to close terminal find widget","2017-6","2017-6","2017-6",True,"2017-6"
"Change memento for Task Notification","2017-6","2017-6","2017-6",True,"2017-6"
"[XML] Allow space after/before the equal sign in(fix #26570)","2017-6","2017-7","2017-6",False,"null"
"Use nsfw for gulp watch","2017-6","2017-6","2017-6",True,"2017-6"
"Add Support [line, col] in terminal links","2017-6","2017-6","2017-6",True,"2017-6"
"Add debugger type in extension view","2017-6","2017-6","2017-6",True,"2017-6"
"Wrap tasks cmds as Actions for telemetry","2017-6","2017-6","2017-6",True,"2017-6"
"Multiroot ripgrep search","2017-6","2017-6","2017-6",True,"2017-6"
"Support files.watcherExcludes in the new file watcher","2017-6","2017-6","2017-6",True,"2017-6"
"#23797 git manage ignore files","2017-6","2017-6","2017-6",True,"2017-6"
"Add --max_old_space_size to tasks.json","2017-6","2017-6","2017-6",False,"null"
"Add git.autofetchPrune option for enabling --prune","2017-6","2017-6","2017-6",False,"null"
"Filter settings from no search results link","2017-6","2017-6","2017-6",True,"2017-6"
"Add Git commit amend commands","2017-6","2017-8","2017-6",True,"2017-8"
"Handle failing extension installation","2017-6","2017-6","2017-6",False,"null"
"Added tips and tricks to the help menu and welcome page","2017-6","2017-6","2017-6",True,"2017-6"
"Address changes to task menu","2017-6","2017-6","2017-6",True,"2017-6"
"Add `Git: Pull From` command","2017-6","2017-6","2017-6",True,"2017-6"
"Remove action wrappers and fix key bindings","2017-6","2017-6","2017-6",True,"2017-6"
"Remove task experiment 1.4","2017-6","2017-6","2017-6",True,"2017-6"
"Use sysnative cmd.exe for the default external terminal on Windows","2017-6","2017-6","2017-6",True,"2017-6"
"Merge pull request #1 from Microsoft/master","2017-6","2017-6","2017-6",False,"null"
"Don't re-render hovers if nothing has changed; Add telemetry on hovers","2017-6","2017-10","2017-6",True,"2017-10"
"Editor.TokenColorCustomizations","2017-6","2017-7","2017-6",True,"2017-7"
"Task experiment 1.5","2017-6","2017-7","2017-6",True,"2017-7"
"Various kinds of sorting in explorer","2017-6","2017-7","2017-6",True,"2017-7"
"Switch to npm5","2017-6","2017-7","2017-6",False,"null"
"Make Telemetry Opt-In instead of Opt-Out","2017-6","2017-7","2017-6",False,"null"
"Multi root folders view name is not updated on removing …","2017-6","2017-6","2017-6",True,"2017-6"
"Do not trimForExclusions","2017-6","2017-6","2017-6",True,"2017-6"
"Tooltips available for SCM diff decorations","2017-6","2017-8","2017-6",True,"2017-8"
"Keep undo history even when file changes outside Code.","2017-6","2017-8","2017-6",True,"2017-8"
"Feature 29241: Add option to disable git indicators in gutter","2017-6","2017-12","2017-6",True,"2017-12"
"Fix history navigator to change the position when adding an existing element.","2017-6","2018-1","2017-6",True,"2018-1"
"Set placeholder text in SourceControlInputBox","2017-6","2017-6","2017-6",False,"null"
"extension count formatting Fixes: #29491","2017-6","2017-6","2017-6",False,"null"
"Extension install count, use current locale for number formatting Fixes #29491","2017-6","2017-7","2017-6",True,"2017-7"
"Reactivate windows nsfw tests","2017-6","2017-6","2017-6",True,"2017-6"
"Set placeholder text in SourceControlInputBox","2017-6","2017-11","2017-6",True,"2017-11"
"Fixes #29729","2017-6","2017-6","2017-6",True,"2017-6"
"Fix for #29608 'QuickOpen looks misaligned in monokai theme'.","2017-6","2017-6","2017-6",True,"2017-6"
"Use path_helper in user shell in darwin","2017-6","2018-1","2017-6",False,"null"
"remove unnecessary Math.min","2017-6","2017-7","2017-6",True,"2017-7"
"Fix spelling of background","2017-6","2017-7","2017-6",False,"null"
"Fix spelling errors in ProblemPattern doc comments","2017-6","2017-7","2017-6",False,"null"
"Fix doc comment spelling errors in problemMatcher.ts","2017-6","2017-7","2017-6",True,"2017-7"
"Group search results by root folders","2017-6","2017-7","2017-6",True,"2017-7"
"Reset JavaScript expression coloring in template expressions","2017-6","2017-6","2017-6",True,"2017-6"
"fix typo in emmet","2017-6","2017-6","2017-6",False,"null"
"support hot registration emmet","2017-7","2017-7","2017-7",True,"2017-7"
"Find in webview based views (html preview, release notes, extension editor)","2017-7","2017-7","2017-7",True,"2017-7"
"Ctrl-T to use word under cursor or current selection","2017-7","2017-7","2017-7",True,"2017-7"
"Add *.props as a recognized file extension for XML","2017-7","2017-7","2017-7",True,"2017-7"
"Recursively refresh children on expand in Tree","2017-7","2017-7","2017-7",False,"null"
"Show git clone progress in status bar and source control feed","2017-7","2017-8","2017-7",True,"2017-8"
"Properly format file path on when dragging and dropping a tab into the integrated terminal in Windows","2017-7","2017-7","2017-7",True,"2017-7"
"Implement context menu actions in CompositePart","2017-7","2017-7","2017-7",True,"2017-7"
"Queue data during pty launch delay Fixes: #29184","2017-7","2017-7","2017-7",True,"2017-7"
"Move to NPM5","2017-7","2017-7","2017-7",False,"null"
"Center align keybindings in quick open","2017-7","2017-7","2017-7",False,"null"
"Fix 30162: add to .git ignore doesn't add new line","2017-7","2017-7","2017-7",False,"null"
"Fixes #28602","2017-7","2017-7","2017-7",True,"2017-7"
"Support reordering of views in split view by drag and drop","2017-7","2017-7","2017-7",True,"2017-7"
"Add tests for TerminalPanel.preparePathForTerminal","2017-7","2017-7","2017-7",True,"2017-7"
"vscode.TaskGroup.Test should be Test, not Clean","2017-7","2017-7","2017-7",True,"2017-7"
"Show unsaved file modifications by opening a diff view","2017-7","2017-7","2017-7",True,"2017-7"
"Don't Use Async with TPromise in VSCode Codebase","2017-7","2017-7","2017-7",False,"null"
"Fix tpromise callback sig for TS 2.4","2017-7","2017-7","2017-7",True,"2017-7"
"Out-of-the-box color picker","2017-7","2017-7","2017-7",True,"2017-7"
"Add API to open a file or diff editor on a specific selection range (fixes #30241)","2017-7","2017-7","2017-7",True,"2017-7"
"Move our watermark to resources so that distro can pick it up","2017-7","2017-7","2017-7",True,"2017-7"
"Update Promise definition ","2017-7","2017-8","2017-7",True,"2017-8"
"refactoring constructors","2017-7","2017-7","2017-7",False,"null"
"Tab title uses parent for specified file names","2017-7","2017-9","2017-7",False,"null"
"Experiment: remote file system","2017-7","2017-7","2017-7",True,"2017-7"
"Set TERM_PROGRAM in terminal","2017-7","2017-7","2017-7",True,"2017-7"
"Shrink terminal find widget to max terminal width","2017-7","2017-7","2017-7",True,"2017-7"
"Add setting for passing env var to terminal.","2017-7","2017-7","2017-7",True,"2017-7"
"Seed terminal find widget with current selection","2017-7","2017-7","2017-7",True,"2017-7"
"env support in terminal api ","2017-7","2017-10","2017-7",True,"2017-10"
"Preserve '\n' terminal keystrokes","2017-7","2017-7","2017-7",True,"2017-7"
"Fix #8132. Open folder in integrated terminal.","2017-7","2017-7","2017-7",True,"2017-7"
"Use TS 2.4 to Build VSCode ","2017-7","2017-7","2017-7",False,"null"
"Fix #30294 - allow theming the terminal cursor, fg and bg","2017-7","2017-7","2017-7",True,"2017-7"
"Added Enabled View to Extension Viewlet","2017-7","2017-7","2017-7",True,"2017-7"
