"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"issue #527 with optional cursor scroll","2015-12","2015-12","2015-12",True,"2015-12"
"Allow to match on paths in quick open (fixes #1065)","2015-12","2015-12","2015-12",True,"2015-12"
"Allow building binary on Linux ARM.","2015-12","2016-1","2015-12",True,"2016-1"
"[css] Add syntax highlighting for additional CSS units","2015-12","2015-12","2015-12",False,"null"
"Suggest cleanup","2015-12","2015-12","2015-12",True,"2015-12"
"Add Subword Navigation","2015-12","2016-5","2015-12",False,"null"
"[ruby] Added .rake extension to use ruby syntax","2015-12","2015-12","2015-12",True,"2015-12"
"Add an option to hide/show menu bar.","2015-12","2015-12","2015-12",False,"null"
"[xml] Associate .atom with XML","2015-12","2015-12","2015-12",True,"2015-12"
"add addApiCommand call which can be found by a doc tool","2015-12","2015-12","2015-12",True,"2015-12"
"Alternative fuzzy searching","2015-12","2015-12","2015-12",True,"2015-12"
"Universal installation script and .desktop files added","2015-12","2015-12","2015-12",False,"null"
"Isidorn/extensions statusbar","2015-12","2015-12","2015-12",True,"2015-12"
"Joh/commands as api","2015-12","2015-12","2015-12",True,"2015-12"
"Joh/diag source","2015-12","2015-12","2015-12",True,"2015-12"
"Enrich completion item provider","2015-12","2016-1","2015-12",False,"null"
"[editorconfig] Use tab_width instead of indent_size","2015-12","2016-2","2015-12",False,"null"
"Move overwriteBefore/overwriteAfter to ISuggestion","2015-12","2015-12","2015-12",True,"2015-12"
"Implement AddSelectionToAllFindMatchAction command class","2015-12","2016-1","2015-12",False,"null"
"[css] Update css intellisense and css.plist","2015-12","2016-1","2015-12",True,"2016-1"
"[css] Fix linear-gradient() snippet syntax","2015-12","2015-12","2015-12",True,"2015-12"
"Add invokeSnippetForCurrentWord command.","2015-12","2016-4","2015-12",False,"null"
"Fix: Upgrading Extensions Blows Up","2015-12","2015-12","2015-12",True,"2015-12"
"document.isDirty appears to report false for dirty untitled document (fixes #723)","2015-12","2015-12","2015-12",True,"2015-12"
"Add a keyboard shortcut to focus on the working files view on the sidebar","2015-12","2015-12","2015-12",False,"null"
"Amend the hint ""jsconfig.json-file"" to ""jsconfig.json file""","2015-12","2015-12","2015-12",True,"2015-12"
"Changed code.visualstudio.com hyperlink to HTTPS","2015-12","2015-12","2015-12",True,"2015-12"
"[c++] keyword ""noexcept"" added","2015-12","2016-1","2015-12",True,"2016-1"
"use version 0.1.2 of native-keymap","2015-12","2015-12","2015-12",True,"2015-12"
"Implementation of editor.action.insertCursorAtEndOfEachSelectedLine","2015-12","2016-1","2015-12",True,"2016-1"
"Render ligatures","2015-12","2016-1","2015-12",False,"null"
"[html] typos of angularjs attributes(directives)","2015-12","2016-1","2015-12",True,"2016-1"
"Support menu bar visibility toggle also on Linux (fixes #1563)","2015-12","2015-12","2015-12",True,"2015-12"
"[python] Disassociate .gn with python language","2015-12","2016-1","2015-12",True,"2016-1"
"Implement configurable cursor style","2015-12","2016-1","2015-12",False,"null"
"Improve auto save","2015-12","2015-12","2015-12",True,"2015-12"
"Avoid computing end condition on each iteration","2015-12","2015-12","2015-12",False,"null"
"Fix debugging debugAdapters when offline","2015-12","2015-12","2015-12",False,"null"
"branch: toggleWordWrap_1a","2015-12","2016-1","2015-12",False,"null"
"Toggle word wrap 1b","2015-12","2016-1","2015-12",True,"2016-1"
"Changing some for loops from ""for (let i= ... i++)"" to ""for (let el o…","2015-12","2016-1","2015-12",False,"null"
"Isidorn/conditional breakpoints","2015-12","2015-12","2015-12",True,"2015-12"
"[bat] Fix batch syntax","2015-12","2016-1","2015-12",True,"2016-1"
"Search: Investigate into native commands for recursive file listing","2015-12","2016-1","2015-12",False,"null"
"replace case with proper type declaration","2016-1","2016-1","2016-1",True,"2016-1"
"Prevent to show install message for installed extensions (fixes #1411)","2016-1","2016-1","2016-1",False,"null"
"Added development instructions to tests README","2016-1","2016-1","2016-1",True,"2016-1"
"Update to Electron 0.35.5","2016-1","2016-1","2016-1",True,"2016-1"
"register text document provider","2016-1","2016-1","2016-1",True,"2016-1"
"Add animation-fill-mode property","2016-1","2016-1","2016-1",False,"null"
"Replaced all old style imports to ES6","2016-1","2016-1","2016-1",False,"null"
"add viewlets to View menu","2016-1","2016-1","2016-1",True,"2016-1"
"quick pick enhancements","2016-1","2016-1","2016-1",True,"2016-1"
"Allow details in quick pick","2016-1","2016-1","2016-1",True,"2016-1"
"added theme-wildlife","2016-1","2016-1","2016-1",False,"null"
"support to validate user input","2016-1","2016-1","2016-1",True,"2016-1"
"Integrate tslint","2016-1","2016-1","2016-1",True,"2016-1"
"Implement a horizontal panel for the workbench","2016-1","2016-1","2016-1",True,"2016-1"
"Sort extensions by install count rather than alphabetically. ","2016-1","2016-1","2016-1",True,"2016-1"
"Fix connecting to debugAdapter by port when offline","2016-1","2016-1","2016-1",True,"2016-1"
"Treat surrogate pairs as one character","2016-1","2016-1","2016-1",True,"2016-1"
"Support and indicate keyboard focus on elements","2016-1","2016-1","2016-1",True,"2016-1"
"html preview part and command","2016-1","2016-1","2016-1",True,"2016-1"
"no snippets in comments","2016-1","2016-1","2016-1",False,"null"
"no snippets in comments","2016-1","2016-1","2016-1",False,"null"
"'scripts\npm install' bugs in windows7","2016-1","2016-1","2016-1",True,"2016-1"
"Add keybinding options for Replace and Replace All (#2004)","2016-1","2016-1","2016-1",True,"2016-1"
"Adding a global Env to the extension API","2016-1","2016-1","2016-1",True,"2016-1"
"Fixing indentation in package.json","2016-1","2016-1","2016-1",True,"2016-1"
"Output in horizontal panel","2016-1","2016-1","2016-1",True,"2016-1"
"More tree focus changes","2016-1","2016-1","2016-1",False,"null"
"improved ""Utilities.containsQueryString""","2016-1","2016-1","2016-1",False,"null"
"Salsa status","2016-1","2016-1","2016-1",True,"2016-1"
"Remove static welcome page and move welcome experience to the website","2016-1","2016-1","2016-1",True,"2016-1"
"Always attempt to correct indent on closing tag","2016-1","2016-3","2016-1",False,"null"
"Send smile to twitter","2016-1","2016-1","2016-1",True,"2016-1"
"next level MarkedString","2016-1","2016-1","2016-1",True,"2016-1"
"Aria roles for tree","2016-1","2016-1","2016-1",True,"2016-1"
"Add json language server","2016-1","2016-1","2016-1",True,"2016-1"
"Support for middle click to paste selection on Linux","2016-1","2016-3","2016-1",False,"null"
"fix #2491","2016-1","2016-1","2016-1",True,"2016-1"
"Send smile to twitter","2016-1","2016-2","2016-1",True,"2016-2"
"Understand update.channel set to none","2016-1","2016-1","2016-1",True,"2016-1"
"Update to Electron 0.37.x","2016-1","2016-4","2016-1",True,"2016-4"
"fix [sql] syntax highlighting error #1634","2016-1","2016-2","2016-1",False,"null"
"Fix md image link with no alt text highlighting","2016-1","2016-2","2016-1",True,"2016-2"
"Associate .cson with CoffeeScript","2016-1","2016-2","2016-1",True,"2016-2"
"fix replacing end of line with newline","2016-1","2016-2","2016-1",False,"null"
"Allow Code to be launched straight from Git Bash on Windows","2016-2","2016-2","2016-2",False,"null"
"add emmet support for .erb and .php files","2016-2","2016-2","2016-2",True,"2016-2"
"Add message that indicates you can press ESC to cancel a search, fixes #2494","2016-2","2016-2","2016-2",False,"null"
"Fixes to C++ and C syntax","2016-2","2016-2","2016-2",True,"2016-2"
"Add -h/-v command line args and linux/mac launch scripts","2016-2","2016-2","2016-2",True,"2016-2"
"Atom.io like multiline support for snippets","2016-2","2016-3","2016-2",False,"null"
"Use the List widget in the Suggest widget","2016-2","2016-2","2016-2",True,"2016-2"
"extension tips","2016-2","2016-2","2016-2",True,"2016-2"
"Focus tracking with 2 markdown previews is broken (fixes #2489)","2016-2","2016-2","2016-2",True,"2016-2"
"Regexp character class closing bracket should't be part of his beginning match","2016-2","2016-3","2016-2",False,"null"
"Fix #2687: Stop capturing 'REM' as a keyword.command in Batch","2016-2","2016-2","2016-2",True,"2016-2"
"debugProtocol update: Add types for function breakpoints","2016-2","2016-2","2016-2",False,"null"
