"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"webview - change context keys away from DOM focus/blur","2018-9","2018-9","2018-9",True,"2018-9"
"Fix #58183 - hide dirty-diff decorator when inside the diff-editor","2018-9","2018-9","2018-9",True,"2018-9"
"Fix#35905","2018-9","2018-9","2018-9",True,"2018-9"
"Update Electron to 2.0.9","2018-9","2018-9","2018-9",True,"2018-9"
"Settings More actions label exp1 WIP Addresses: #57378","2018-9","2018-9","2018-9",False,"null"
"Add missing access keys (mnemonics) for menu items","2018-9","2018-9","2018-9",True,"2018-9"
"Adding electron ARM and ARM64 tasks for cross-compiling","2018-9","2018-9","2018-9",True,"2018-9"
"Move early return at the top of function in intersectDiffWithRange","2018-9","2018-9","2018-9",False,"null"
"Added find options to terminal find widget with keybindings","2018-9","2018-9","2018-9",True,"2018-9"
"Update the path used to be the fsPath","2018-9","2018-9","2018-9",True,"2018-9"
"fixes #52531","2018-9","2018-9","2018-9",True,"2018-9"
"Settings: Add aria-label for context menu shortcut. Fixes #57378","2018-9","2018-9","2018-9",True,"2018-9"
"add 2px buffer around mouse for context menus","2018-9","2018-9","2018-9",False,"null"
"Customizable menu seperator color","2018-9","2018-9","2018-9",True,"2018-9"
"Copy Relative Path: is not doing the right in multi-root fixes: #58504","2018-9","2018-9","2018-9",False,"null"
"Customising activity bar icon colors","2018-9","2018-9","2018-9",True,"2018-9"
"Allow folding icons to match editor.fontSize","2018-9","2018-9","2018-9",True,"2018-9"
"Fix #57910 - Make autofetch period customizable","2018-9","2018-9","2018-9",False,"null"
"Updated find focus tracker for terminal. Fixes #29670","2018-9","2018-9","2018-9",True,"2018-9"
"Update Light theme list colors for color contrast","2018-9","2018-9","2018-9",True,"2018-9"
"Improvements to screenreader support in suggest widget #40597","2018-9","2018-9","2018-9",True,"2018-9"
"Reduce language pack checks","2018-9","2018-9","2018-9",True,"2018-9"
"refactor menu theming to be cleaner and remove css colors","2018-9","2018-9","2018-9",True,"2018-9"
"Fix inaccurate description in tsconfig.schema.json","2018-9","2018-9","2018-9",True,"2018-9"
"Introduce --force arg to install extension without prompts","2018-9","2018-9","2018-9",True,"2018-9"
"[WIP] Add support for editing comments","2018-9","2018-9","2018-9",True,"2018-9"
"Extension host terminal onData events need to be queued when the terminal ID is not yet set","2018-9","2018-9","2018-9",True,"2018-9"
"Wait to call registerOnDataListener until the terminal id has been set","2018-9","2018-9","2018-9",True,"2018-9"
"Support typescript 3.0 --build flag in task","2018-9","2018-9","2018-9",False,"null"
"Fix #58532: fix terminal scroll position when opened","2018-9","2018-9","2018-9",False,"null"
"First PR: Adding jump to nth autocomplete suggestion via keyboard shortcut","2018-9","2020-5","2018-9",False,"null"
"Fix #57910 - Make autofetch period customizable","2018-9","2018-10","2018-9",False,"null"
"ITokenizationRegistry to support TokenizationSupport promises","2018-9","2018-9","2018-9",True,"2018-9"
"SelectBox: Lazy list create on open. Pass 1 addressing #58236","2018-9","2018-9","2018-9",True,"2018-9"
"Dont update disabled extensions ","2018-9","2018-9","2018-9",True,"2018-9"
"always show create a branch button","2018-9","2018-9","2018-9",True,"2018-9"
"Use IPC for exthost RPC","2018-9","2019-3","2018-9",False,"null"
"Support use of category with other views","2018-9","2018-9","2018-9",True,"2018-9"
"Provide file icons per file type","2018-9","2018-9","2018-9",True,"2018-9"
"check only dot at the end of a branch","2018-9","2018-9","2018-9",True,"2018-9"
"Make Monaco compatible with sites using a secure nonce-only CSP.","2018-9","2018-9","2018-9",False,"null"
"Avoid warning from URI.parse when url is file path","2018-9","2018-9","2018-9",True,"2018-9"
"Add support for deleting comments","2018-9","2018-9","2018-9",True,"2018-9"
"Add output channel for telemetry.log file","2018-9","2018-9","2018-9",True,"2018-9"
"Add keybindings to terminal find next and previous ","2018-9","2018-9","2018-9",True,"2018-9"
"improve markdown preview scroll sync","2018-9","2018-9","2018-9",True,"2018-9"
"insert next/prev suggestions","2018-9","2018-9","2018-9",True,"2018-9"
"Fix #58326 - Revert selected ranges now behaves like stage/unstage selected ranges","2018-9","2019-3","2018-9",False,"null"
"change active text editor logic to ignore blur events","2018-9","2018-9","2018-9",True,"2018-9"
"Keep options shown in quick input & add to git's ""Create new branch""","2018-9","2018-9","2018-9",False,"null"
"add powershell cli script","2018-9","2019-10","2018-9",False,"null"
"Added a try catch around pty spawn to handle nonexistant file","2018-9","2018-9","2018-9",True,"2018-9"
"Allow list widget icons to inherit foreground color","2018-9","2019-4","2018-9",False,"null"
"Fix dirty setting update logic","2018-9","2018-9","2018-9",True,"2018-9"
"dismiss context menus on window focus lost","2018-9","2018-9","2018-9",True,"2018-9"
"Fix #58731 & add test & preserve input for ""create new branch""","2018-9","2019-1","2018-9",False,"null"
"SelectBox: Fix selectable separator. Fixes #58961","2018-9","2018-9","2018-9",True,"2018-9"
" Wait to signal to the extHostTerminalService that the terminal is opened until the terminal has a name.","2018-9","2018-9","2018-9",True,"2018-9"
"Update file icons per file type","2018-9","2018-9","2018-9",True,"2018-9"
"prioritize tokens over brackets in find","2018-9","2018-9","2018-9",True,"2018-9"
"Added new style to handle terminal find overflow behavior with find options","2018-9","2018-9","2018-9",True,"2018-9"
