"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"This will look for Visual Studio in the Correct directory.","2022-2","2022-2","2022-2",True,"2022-2"
"Fix querying an extension by id in extension view always renders stable version in extension editor","2022-2","2022-2","2022-2",True,"2022-2"
"Add new contexts that may be needed","2022-2","2022-2","2022-2",False,"null"
"files - adopt `fileService.stat` method in more places","2022-2","2022-2","2022-2",True,"2022-2"
"Fix typo in languageConfigurationRegistry.ts","2022-2","2022-2","2022-2",False,"null"
"Fix the #143392","2022-2","2022-2","2022-2",True,"2022-2"
"Improve native modules tests","2022-2","2022-2","2022-2",True,"2022-2"
"editors - allow untyped editors from save/saveAs","2022-2","2022-2","2022-2",True,"2022-2"
"use audio cue to signal no inlay hints can be read","2022-2","2022-2","2022-2",True,"2022-2"
"smoke - retry stable code download (fix #143386)","2022-2","2022-2","2022-2",True,"2022-2"
"Don't do a word selection when double clicking on injected text.","2022-2","2022-2","2022-2",True,"2022-2"
"Replace languageId by languageSelector in all language feature registration functions","2022-2","2022-2","2022-2",True,"2022-2"
"Allow getWorker function to return a promise","2022-2","2022-2","2022-2",True,"2022-2"
"chore: update vscode-encrypt","2022-2","2022-3","2022-2",True,"2022-3"
"Allow to run some remote extensions locally","2022-2","2022-2","2022-2",True,"2022-2"
"Allow stack frame without source as top stack frame when using disassembly view","2022-2","2022-3","2022-2",True,"2022-3"
"Fix broken API link","2022-2","2022-2","2022-2",True,"2022-2"
"scale instead of zoom","2022-2","2022-2","2022-2",True,"2022-2"
"Editor group model tweaks","2022-2","2022-2","2022-2",True,"2022-2"
"Correct description of bracket guide setting","2022-2","2022-2","2022-2",True,"2022-2"
"Ask user to select PR templates when forking a repository","2022-2","2022-4","2022-2",True,"2022-4"
"Allow interactive window to scroll beyond end (#127578)","2022-2","null","2022-2",False,"null"
"terminal decoration config improvements","2022-2","2022-2","2022-2",True,"2022-2"
"Fix incorrect label for the ""goto previous problem""","2022-2","2022-2","2022-2",True,"2022-2"
"Disable TypeScript/JavaScript hover provider when validate.enable is set to false","2022-2","2022-2","2022-2",False,"null"
"chore: revert to electron@13","2022-2","2022-2","2022-2",True,"2022-2"
"Create the named pipe server on the extension host","2022-2","2022-3","2022-2",False,"null"
"fix terminal decorations when in editor area and side panel","2022-2","2022-2","2022-2",True,"2022-2"
"show shell integration info in single terminal tab hover","2022-2","2022-2","2022-2",True,"2022-2"
"Fix disabled breakpoint icon in disassembly view","2022-2","2022-3","2022-2",True,"2022-3"
"fixes #141405","2022-2","null","2022-2",False,"null"
"adjust command decorations based on terminal font size","2022-2","2022-2","2022-2",False,"null"
"adjust command decoration font size and margins based on terminal font size","2022-2","2022-2","2022-2",True,"2022-2"
"Fixes webview views fail to load in code web if view id is too long","2022-2","2022-2","2022-2",True,"2022-2"
"Add back id param to webview service worker path","2022-2","2022-2","2022-2",False,"null"
"Get zsh shell integration working again","2022-2","2022-2","2022-2",True,"2022-2"
"Fix #143985","2022-2","2022-2","2022-2",True,"2022-2"
"March debt changes","2022-2","2022-2","2022-2",True,"2022-2"
"Add jsonc to markdown embedded languages","2022-2","2022-2","2022-2",True,"2022-2"
"Main","2022-2","2022-2","2022-2",False,"null"
"Web: improve drop support from OS","2022-2","2022-2","2022-2",True,"2022-2"
"chore: hasfocus -> hasFocus","2022-2","2022-3","2022-2",True,"2022-3"
"Update webviewElement.ts","2022-2","2022-2","2022-2",False,"null"
"ci: update node-gyp for VS 2022 support","2022-2","2022-2","2022-2",True,"2022-2"
"Fix last modified since error while writing settings","2022-2","2022-2","2022-2",False,"null"
"Fix last modified since error while writing settings","2022-2","2022-2","2022-2",True,"2022-2"
"Update distro","2022-2","2022-2","2022-2",True,"2022-2"
"Fixes #132021 by introducing position affinity for widgets.","2022-2","2022-3","2022-2",True,"2022-3"
