"['title']","['url']","['createdAt']","['closedAt']"
"azure-core Performance Improvements","https://github.com/Azure/azure-sdk-for-java/issues/19282","2021-2/17","2022-4/19"
"Investigate using MappedByteBuffer when Sending a File as a Request Body","https://github.com/Azure/azure-sdk-for-java/issues/19283","2021-2/17","2022-2/10"
"Investigate Leveraging Jackson AfterBurner/Blackbird","https://github.com/Azure/azure-sdk-for-java/issues/19284","2021-2/17","2021-8/18"
"[BUG] EventHubs ""Quickstarts"" Java SDK version isn't updated","https://github.com/Azure/azure-sdk-for-java/issues/19287","2021-2/17","2021-4/30"
"Add support for page number on analyze custom forms","https://github.com/Azure/azure-sdk-for-java/issues/19290","2021-2/17","2021-3/30"
"Add support for reading order on layout API","https://github.com/Azure/azure-sdk-for-java/issues/19291","2021-2/17","2021-4/5"
"[BUG] Getting Output Stream object for Block Blob Client breaks on using SAS token for creating container client","https://github.com/Azure/azure-sdk-for-java/issues/19309","2021-2/18","2021-5/6"
"Use Generic for EventGrid Client","https://github.com/Azure/azure-sdk-for-java/issues/19313","2021-2/18","2021-2/23"
"[BUG] azure-spring-boot-starter-keyvault-secrets doesn't work with SpringBoot 2.1.8.RELEASE","https://github.com/Azure/azure-sdk-for-java/issues/19322","2021-2/19","2021-3/10"
"[BUG] BlobClient.uploadWithResponse should either return a response or be renamed","https://github.com/Azure/azure-sdk-for-java/issues/19324","2021-2/19","2021-3/26"
"LeaseIdMismatchWithBlobOperation with copyFromUrlWithResponse when specifying a valid leaseId on leased destination blob","https://github.com/Azure/azure-sdk-for-java/issues/19326","2021-2/19","2021-4/17"
"[BUG] Setting setRetrieveDeletedBlobs to true when listing blobs in container doesn't return any of the soft deleted blobs.","https://github.com/Azure/azure-sdk-for-java/issues/19335","2021-2/19","2021-2/23"
"Update samples to not use an existing data source for Search.","https://github.com/Azure/azure-sdk-for-java/issues/19361","2021-2/22","2021-8/12"
"Additional improvements to the Batching algorithm","https://github.com/Azure/azure-sdk-for-java/issues/19362","2021-2/22","2021-4/22"
"GeoSpatial type support","https://github.com/Azure/azure-sdk-for-java/issues/19363","2021-2/22","2021-4/14"
"Add new data source support for ADLS Gen2","https://github.com/Azure/azure-sdk-for-java/issues/19364","2021-2/22","2021-4/14"
"Generate code from swagger","https://github.com/Azure/azure-sdk-for-java/issues/19365","2021-2/22","2021-4/12"
"Design Operations on Repositories","https://github.com/Azure/azure-sdk-for-java/issues/19366","2021-2/22","2021-4/12"
"Design Operations on Tags","https://github.com/Azure/azure-sdk-for-java/issues/19367","2021-2/22","2021-4/12"
"Design Operations on Manifests","https://github.com/Azure/azure-sdk-for-java/issues/19368","2021-2/22","2021-4/12"
"Address Arch Board feedback","https://github.com/Azure/azure-sdk-for-java/issues/19369","2021-2/22","2021-5/4"
"Add support for AAD auth","https://github.com/Azure/azure-sdk-for-java/issues/19370","2021-2/22","2021-7/20"
"[Monitor Exporter] Upgrade the OTel SDK version to 0.17.1","https://github.com/Azure/azure-sdk-for-java/issues/19371","2021-2/22","2021-3/8"
"[Core Tracing] Upgrade the OTel SDK version to 0.17.1","https://github.com/Azure/azure-sdk-for-java/issues/19372","2021-2/22","2021-2/23"
"[BUG] Can't find iothub-connection-device-id in message received from EventHubClient","https://github.com/Azure/azure-sdk-for-java/issues/19389","2021-2/23","2021-4/26"
"[FEATURE REQ] EventHub consumer group / EventProcessorClient metrics","https://github.com/Azure/azure-sdk-for-java/issues/19391","2021-2/23","null"
"Jackson 2.12.0 causes infinite loop(read) in method BlobContainerClient.listBlobsByHierarchy","https://github.com/Azure/azure-sdk-for-java/issues/19392","2021-2/23","2021-5/14"
"AAD support","https://github.com/Azure/azure-sdk-for-java/issues/19397","2021-2/23","null"
"Create Tooling to Automate Patch Release Branch Creation","https://github.com/Azure/azure-sdk-for-java/issues/19400","2021-2/23","2021-8/31"
"Add a Status Report for azure-sdk-bom Dependency Alignment to Daily Report Generation","https://github.com/Azure/azure-sdk-for-java/issues/19401","2021-2/23","2021-8/10"
"Add Dependency Version Management Tags to azure-sdk-bom","https://github.com/Azure/azure-sdk-for-java/issues/19402","2021-2/23","2021-8/10"
"Github getting started guide","https://github.com/Azure/azure-sdk-for-java/issues/19405","2021-2/24","2021-12/17"
"Spring Data Cosmos MultiDatabase sample is not working","https://github.com/Azure/azure-sdk-for-java/issues/19408","2021-2/24","2021-2/24"
"[BUG] Blob Storage: Netty HttpClient is slow when downloading via an authenticated proxy server","https://github.com/Azure/azure-sdk-for-java/issues/19415","2021-2/24","2021-6/8"
"Can't instantiate a client when newer version of reactor-netty is on the classpath","https://github.com/Azure/azure-sdk-for-java/issues/19418","2021-2/24","2021-2/25"
"[QUERY] document the contents of sdk/cosmos/","https://github.com/Azure/azure-sdk-for-java/issues/19421","2021-2/24","2021-2/25"
"Rethink the credential we used in JAVA test source code and recording files","https://github.com/Azure/azure-sdk-for-java/issues/19422","2021-2/24","2022-3/29"
"[Form Recognizer] Move non-Java files from src/samples/java directory to src/samples/resources directory","https://github.com/Azure/azure-sdk-for-java/issues/19424","2021-2/24","2021-3/22"
"Azure Search Improvements for Java (April 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19429","2021-2/24","2021-4/27"
"Azure Search Improvements for Java (May 2021)","https://github.com/Azure/azure-sdk-for-java/issues/19430","2021-2/25","2021-5/11"
"Add support for knowledge Store","https://github.com/Azure/azure-sdk-for-java/issues/19431","2021-2/25","2021-4/27"
"Add support for additional skills","https://github.com/Azure/azure-sdk-for-java/issues/19432","2021-2/25","2021-4/14"
"Add support for normalizers","https://github.com/Azure/azure-sdk-for-java/issues/19433","2021-2/25","2021-4/14"
"[FEATURE REQ] [Identity] Support non-microsoft tenants","https://github.com/Azure/azure-sdk-for-java/issues/19443","2021-2/25","2021-10/25"
"[Question] How can I unit test EventProcessorClient?","https://github.com/Azure/azure-sdk-for-java/issues/19450","2021-2/25","2021-3/1"
"[AppConfig] Add perf test","https://github.com/Azure/azure-sdk-for-java/issues/19452","2021-2/25","2021-5/3"
"[AppConfig] Add external sync token support","https://github.com/Azure/azure-sdk-for-java/issues/19453","2021-2/25","2021-4/6"
"[AppConfig] Add Feature Flag setting support","https://github.com/Azure/azure-sdk-for-java/issues/19454","2021-2/25","2021-4/9"
"[AppConfig] Add Secret Reference setting support","https://github.com/Azure/azure-sdk-for-java/issues/19455","2021-2/25","2021-4/9"
"[Checkstyle Rule] Don't Call toString when Calling Logging APIs","https://github.com/Azure/azure-sdk-for-java/issues/19462","2021-2/26","null"
"Quantum Jobs Readme and Sample issues","https://github.com/Azure/azure-sdk-for-java/issues/19467","2021-2/26","2021-8/13"
"Monitor Opentelemetry Exporter Sample issue","https://github.com/Azure/azure-sdk-for-java/issues/19468","2021-2/26","2021-5/27"
"Communication-chat Readme issue","https://github.com/Azure/azure-sdk-for-java/issues/19469","2021-2/26","2021-4/12"
"Form Recognizer Sample issue","https://github.com/Azure/azure-sdk-for-java/issues/19470","2021-2/26","2021-4/14"
